,MIR25,MIR3685,MIR647,MIR7111,MIR6819,MIR4768,AL513534.1,MIR4653,MIR1244.2,MIR6881,MIR320E,MIR548AN,MIR4645,MIR186,MIR6801,MIR6784,MIR4292,MIR570,MIR149,MIR1244.4,MIR3189,MIR635,MIR6753,MIR3164,MIR765,MIR6745,MIR378A,MIR4728,MIR339,MIR205,MIR616,MIR573,MIR6812,MIR548AR,MIR5010,MIR4263,MIR324,MIR93,MIR1244.3,MIR4442,MIR2116,MIR4539,MIR643,MIR141,MIR574,MIR200A,MIR4740,MIR3176,MIR6865,MIR4538,MIR589,MIR6772,MIR6797,MIR106B,MIR657,MIR3605,MIR661,MIR6814,MIR4326,MIR3186,MIR3149,MIR3671,MIR3682,MIR645,MIR6739,MIR4701,MIR378J,MIR3975,MIR4664,MIR3138,MIR27B,MIR210,MIR4635,MIR429,MIR6859.1,MIR6835,MIR4786,MIR590,MIR3677,MIR200B,MIR4258,MIR331,MIR4420,MIR1249,MIR3153,MIR6514,MIR6719,MIR4477B,MIR3122,MIR5587,MIR6769A,MIR7856,MIR6077,MIR627,MIR6728,MIR4668,MIR320B2,MIR6895,MIR1827,MIR6775
TCGA-ZF-A9RN-01A-11R-A42T-07,0.119047619047619,0.152941176470588,0.135593220338983,0.175,0.0,0.002020202020202,0.0405405405405405,0.115241635687732,0.221606648199446,0.0,0.0294117647058824,0.0,0.136363636363636,0.0,0.0,0.0,0.0594059405940594,0.115183246073298,0.0,0.476190476190476,0.0,0.327586206896552,0.125,0.0,0.157894736842105,0.0,0.0,0.0038167938931297,0.0652173913043478,0.0,0.0350877192982456,0.024390243902439,0.125,0.0909090909090909,0.0714285714285714,0.19672131147541,0.2,0.0606060606060606,0.495412844036697,0.04,0.75,0.0,0.0,0.0,0.166666666666667,0.0208333333333333,0.0459770114942529,0.0625,0.0,0.0,0.268292682926829,0.0,0.0909090909090909,0.0,0.0,0.0227272727272727,0.0,0.0,0.0909090909090909,0.05,0.0,0.0,0.112,0.1,0.0689655172413793,0.333333333333333,0.0,0.0,0.240963855421687,0.0,0.0,0.0,0.0227272727272727,0.0254041570438799,0.0,0.037037037037037,0.0588235294117647,0.0,0.0,0.0192307692307692,0.0454545454545455,0.0,0.0,0.0,0.0689655172413793,0.0,0.0,0.0152091254752852,0.333333333333333,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.222222222222222,0.0,0.0,0.0
TCGA-XF-A8HH-01A-11R-A38B-07,0.130952380952381,0.223529411764706,0.550847457627119,0.55,0.214285714285714,0.006060606060606,0.162162162162162,0.144981412639405,0.0424746075715605,0.285714285714286,0.0294117647058824,0.2,0.0454545454545455,0.318181818181818,0.2,0.0943396226415094,0.207920792079208,0.267015706806283,0.0,0.0325814536340852,0.226865671641791,0.431034482758621,0.0833333333333333,0.0,0.210526315789474,0.0,0.222222222222222,0.0648854961832061,0.0,0.0131147540983607,0.087719298245614,0.0975609756097561,0.25,0.272727272727273,0.428571428571429,0.229508196721311,0.08,0.0,0.0458715596330275,0.04,0.25,0.0238095238095238,0.666666666666667,0.0,0.0,0.0260416666666667,0.0804597701149425,0.0208333333333333,0.0,0.0,0.0,0.0645161290322581,0.151515151515152,0.0,0.0,0.0909090909090909,0.285714285714286,0.0,0.545454545454545,0.0,0.125,0.0476190476190476,0.16,0.0,0.0689655172413793,0.333333333333333,0.454545454545455,0.0,0.0843373493975904,0.2,0.0086206896551724,0.228070175438596,0.113636363636364,0.046189376443418,0.2,0.259259259259259,0.235294117647059,0.04,0.115384615384615,0.0096153846153846,0.136363636363636,0.166666666666667,0.1,0.15,0.0,0.142857142857143,0.222222222222222,0.209125475285171,0.0,0.2,0.2,0.0,0.333333333333333,0.0,0.583333333333333,0.2,0.111111111111111,0.166666666666667,0.0,0.5
TCGA-ZF-AA4W-01A-12R-A38B-07,0.0238095238095238,0.0823529411764706,0.0508474576271186,0.2,0.0,0.0181818181818182,0.027027027027027,0.0780669144981413,0.349953831948292,0.0,0.0294117647058824,0.0,0.181818181818182,0.0,0.0,0.0,0.0693069306930693,0.0942408376963351,0.0,0.556390977443609,0.0074626865671641,0.103448275862069,0.0416666666666667,0.0,0.105263157894737,0.0769230769230769,0.0,0.0,0.0,0.0065573770491803,0.0175438596491228,0.0,0.0,0.0,0.0714285714285714,0.0655737704918033,0.0,0.0,0.614678899082569,0.0,0.0,0.0,0.0,0.0,0.0,0.0052083333333333,0.0804597701149425,0.0208333333333333,0.25,0.0,0.195121951219512,0.032258064516129,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.05,0.125,0.0,0.056,0.0,0.0,0.0,0.0303030303030303,0.0,0.0240963855421687,0.0,0.0,0.192982456140351,0.0,0.0115473441108545,0.0666666666666667,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076045627376425,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.333333333333333,0.0,0.166666666666667
TCGA-XF-A9SU-01A-31R-A39I-07,0.148809523809524,0.105882352941176,0.0677966101694915,0.175,0.142857142857143,0.0404040404040404,0.0,0.111524163568773,0.316712834718375,0.0,0.176470588235294,0.025,0.0454545454545455,0.0,0.0,0.0,0.0396039603960396,0.0994764397905759,0.0,0.395989974937343,0.0238805970149254,0.241379310344828,0.0416666666666667,0.0,0.105263157894737,0.0769230769230769,0.0,0.0,0.0217391304347826,0.0098360655737704,0.0,0.024390243902439,0.125,0.0,0.0,0.0491803278688525,0.08,0.0606060606060606,0.275229357798165,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0344827586206897,0.0416666666666667,0.5,0.0,0.0487804878048781,0.0,0.151515151515152,0.0,0.142857142857143,0.0,0.0,0.0,0.181818181818182,0.0,0.0,0.0,0.088,0.1,0.0,0.0833333333333333,0.0606060606060606,0.0714285714285714,0.0,0.0,0.0,0.0350877192982456,0.0,0.0346420323325635,0.0666666666666667,0.037037037037037,0.0588235294117647,0.0,0.0384615384615385,0.0096153846153846,0.136363636363636,0.0,0.0,0.1,0.0,0.0,0.0,0.29277566539924,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0
TCGA-DK-A3IQ-01A-31R-A32Y-07,0.0535714285714286,0.152941176470588,0.203389830508475,0.1,0.0,0.0101010101010101,0.108108108108108,0.0669144981412639,0.11449676823638,0.0714285714285714,0.0,0.0,0.181818181818182,0.136363636363636,0.0,0.0,0.0693069306930693,0.335078534031414,0.12,0.203007518796992,0.0074626865671641,0.586206896551724,0.0,0.12,0.210526315789474,0.0769230769230769,0.0,0.0076335877862595,0.0217391304347826,0.019672131147541,0.0175438596491228,0.146341463414634,0.125,0.0909090909090909,0.142857142857143,0.0819672131147541,0.16,0.0606060606060606,0.220183486238532,0.0266666666666667,0.25,0.0,0.0,0.0,0.166666666666667,0.0260416666666667,0.0344827586206897,0.0625,0.5,0.0,0.0731707317073171,0.387096774193548,0.0606060606060606,0.0,0.0,0.0,0.142857142857143,0.0,0.272727272727273,0.0,0.125,0.0952380952380952,0.016,0.2,0.103448275862069,0.0833333333333333,0.0909090909090909,0.0,0.036144578313253,0.1,0.0258620689655172,0.105263157894737,1.0,0.0207852193995381,0.0666666666666667,0.037037037037037,0.0588235294117647,0.12,0.0384615384615385,0.0480769230769231,0.0454545454545455,0.0833333333333333,0.2,0.25,0.0,0.0,0.222222222222222,0.0456273764258555,0.0,0.05,0.0,0.0,0.0,0.0,0.0833333333333333,0.4,0.222222222222222,0.0,0.0,0.0
TCGA-CU-A5W6-01A-11R-A28M-07,0.0238095238095238,0.2,0.0677966101694915,0.075,0.0714285714285714,0.002020202020202,0.0810810810810811,0.0743494423791822,0.260387811634349,0.0,0.0,0.0,0.0,0.106060606060606,0.0,0.0188679245283019,0.0693069306930693,0.230366492146597,0.0,0.275689223057644,0.0626865671641791,0.224137931034483,0.208333333333333,0.0,0.210526315789474,0.0,0.0,0.0114503816793893,0.0,0.0688524590163934,0.157894736842105,0.0,0.25,0.0,0.0,0.147540983606557,0.0,0.0303030303030303,0.192660550458716,0.0266666666666667,0.0,0.0,0.0,0.0434782608695652,0.166666666666667,0.0052083333333333,0.0804597701149425,0.0,0.0,0.0,0.146341463414634,0.0,0.0909090909090909,0.0,0.428571428571429,0.0227272727272727,0.0,0.166666666666667,0.0909090909090909,0.05,0.0,0.0476190476190476,0.192,0.0,0.0,0.166666666666667,0.0606060606060606,0.0,0.0240963855421687,0.2,0.0,0.175438596491228,0.0,0.0254041570438799,0.0666666666666667,0.0,0.0588235294117647,0.0,0.0,0.0192307692307692,0.0909090909090909,0.25,0.0,0.2,0.275862068965517,0.142857142857143,0.0,0.11787072243346,0.0,0.0,0.0,0.03125,0.0,0.0,0.166666666666667,0.3,0.0,0.666666666666667,0.0,0.0
TCGA-DK-A3X1-01A-12R-A22U-07,0.0595238095238095,0.282352941176471,0.161016949152542,0.2,0.0,0.0525252525252525,0.0405405405405405,0.0446096654275093,0.33056325023084,0.0714285714285714,0.235294117647059,0.025,0.0454545454545455,0.0303030303030303,0.2,0.0566037735849057,0.148514851485149,0.308900523560209,0.0,0.433583959899749,0.0029850746268656,0.137931034482759,0.458333333333333,0.0,0.0526315789473684,0.153846153846154,0.0,0.0229007633587786,0.0,0.0163934426229508,0.0175438596491228,0.024390243902439,0.125,0.0909090909090909,0.0714285714285714,0.0491803278688525,0.0,0.0,0.394495412844037,0.04,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0114942528735632,0.0,0.0,0.0,0.024390243902439,0.0,0.0606060606060606,0.0454545454545455,0.0,0.0681818181818182,0.142857142857143,0.0,0.0909090909090909,0.05,0.0,0.19047619047619,0.104,0.1,0.0344827586206897,0.0,0.121212121212121,0.0,0.0120481927710843,0.2,0.0,0.0,0.113636363636364,0.0323325635103926,0.0,0.148148148148148,0.0588235294117647,0.04,0.0769230769230769,0.0192307692307692,0.0454545454545455,0.0,0.1,0.05,0.0,0.142857142857143,0.0,0.254752851711027,0.0,0.0,0.0,0.03125,0.0,0.0,0.416666666666667,0.0,0.111111111111111,0.0,0.0,0.166666666666667
TCGA-XF-A9ST-01A-11R-A42T-07,0.119047619047619,0.0588235294117647,0.152542372881356,0.225,0.0714285714285714,0.0121212121212121,0.0135135135135135,0.0594795539033457,0.145891043397969,0.0,0.117647058823529,0.0,0.0,0.0,0.0,0.0,0.118811881188119,0.12565445026178,0.06,0.315789473684211,0.0014925373134328,0.5,0.0833333333333333,0.04,0.105263157894737,0.0,0.0,0.0038167938931297,0.152173913043478,0.0,0.0,0.0975609756097561,0.0,0.0,0.0714285714285714,0.0491803278688525,0.28,0.0,0.220183486238532,0.0133333333333333,0.25,0.0,0.0,0.0,0.333333333333333,0.0,0.195402298850575,0.0625,0.25,0.0,0.609756097560976,0.0,0.0606060606060606,0.0,0.0714285714285714,0.0227272727272727,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.096,0.0,0.0344827586206897,0.25,0.0303030303030303,0.0,0.265060240963855,0.0,0.0,0.0,0.0,0.0046189376443418,0.0666666666666667,0.148148148148148,0.0588235294117647,0.12,0.0384615384615385,0.0,0.181818181818182,0.0,0.0,0.05,0.0344827586206897,0.142857142857143,0.0,0.0076045627376425,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111111,0.0,0.0,0.0
TCGA-BT-A20V-01A-11R-A14Y-07,0.0952380952380952,0.235294117647059,0.0932203389830508,0.1,0.0,0.006060606060606,0.027027027027027,0.100371747211896,0.0729455216989843,0.0,0.147058823529412,0.025,0.0,0.0606060606060606,0.0,0.0188679245283019,0.0495049504950495,0.18848167539267,0.0,0.235588972431078,0.008955223880597,0.103448275862069,0.0833333333333333,0.04,0.157894736842105,0.0,0.0555555555555556,0.0114503816793893,0.0869565217391304,0.0262295081967213,0.0350877192982456,0.0,0.0,0.0,0.0,0.360655737704918,0.04,0.0,0.229357798165138,0.0133333333333333,0.0,0.0,0.0,0.0,0.333333333333333,0.0052083333333333,0.0459770114942529,0.125,0.0,0.0,0.024390243902439,0.032258064516129,0.121212121212121,0.0,0.0714285714285714,0.0227272727272727,0.142857142857143,0.0,0.0,0.0,0.125,0.142857142857143,0.064,0.0,0.103448275862069,0.0,0.121212121212121,0.0,0.072289156626506,0.0,0.0,0.0526315789473684,0.159090909090909,0.0115473441108545,0.0,0.0,0.117647058823529,0.0,0.192307692307692,0.0,0.136363636363636,0.0833333333333333,0.0,0.0,0.0689655172413793,0.142857142857143,0.0,0.0304182509505703,0.666666666666667,0.15,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.111111111111111,0.5,0.0,0.0
TCGA-GV-A3QF-01A-31R-A22U-07,0.125,0.129411764705882,0.271186440677966,0.25,0.428571428571429,0.0848484848484849,0.22972972972973,0.226765799256506,0.125577100646353,0.0714285714285714,0.382352941176471,0.65,0.0,0.0909090909090909,0.2,0.113207547169811,0.346534653465347,0.282722513089005,0.04,0.162907268170426,0.507462686567164,0.46551724137931,0.333333333333333,0.12,0.0526315789473684,0.0,0.111111111111111,0.083969465648855,0.0,0.0032786885245901,0.105263157894737,0.195121951219512,0.125,0.0,0.142857142857143,0.114754098360656,0.08,0.0606060606060606,0.201834862385321,0.0933333333333333,0.125,0.0,0.0,0.0,0.0,0.0052083333333333,0.0114942528735632,0.1875,0.0,0.0,0.146341463414634,0.354838709677419,0.454545454545455,0.136363636363636,0.0714285714285714,0.0681818181818182,0.0,0.111111111111111,0.272727272727273,0.0,0.0,0.0,0.272,0.0,0.0689655172413793,0.25,0.424242424242424,0.0,0.036144578313253,0.2,0.0,0.12280701754386,0.0454545454545455,0.0184757505773672,0.4,0.185185185185185,0.117647058823529,0.36,0.0,0.0,0.409090909090909,0.0833333333333333,0.0,0.0,0.241379310344828,0.285714285714286,0.333333333333333,0.0570342205323194,0.0,0.0,0.8,0.25,0.0,0.0,0.0833333333333333,0.4,0.444444444444444,0.0,0.5,0.0
