,MIR378J,MIR210,MIR4477B,MIR4653,MIR320D1,MIR6729,MIR3153,MIR6832,MIR635,MIR3131,MIR3124,AL031428.2,MIR570,MIR559,MIR6775,MIR6848,MIR4285,MIR200A,MIR1281,MIR6797,MIR200B,MIR589,MIR4420,MIR4664,MIR6774,MIR7111,MIR4263,MIR4258,MIR1285.1,MIR126,MIR6784,MIR1244.2,MIR3159,MIR590,MIR616,MIR3125,MIR3189,MIR7974,MIR6835,MIR3183,MIR4469,MIR6753,MIR3662,MIR324,MIR4648,MIR4261,MIR6776,MIR4428,MIR593,MIR10B,MIR4537,MIR4645,MIR1293,AL513534.1,MIR6769A,MIR548AR,MIR93,MIR219A1,AL928646.1,MIR199A1,MIR4538,MIR7107,MIR4292,MIR3677,MIR6754,MIR3689D1,MIR3649,MIR106B,MIR455,MIR320A,MIR326,MIR4512,MIR4742,MIR5195,MIR4539,MIR5685,MIR1244.3,MIR5091,MIR4488,MIR6819,MIR4658,MIR6747,MIR3671,MIR221,MIR181A2,MIR644A,MIR6806,MIR3942,MIR4728,MIR4326,MIR6768,MIR4482,MIR33A,MIR4256,AL606469.2,MIR647,MIR6730,MIR4730,MIR6891,MIR5009
TCGA-AA-3956-01A-02R-1022-07,0.0,0.027027027027027,0.0,0.0080645161290322,0.0,0,0.0294117647058824,0.0,0.0869565217391304,0.0048780487804878,0.0,0.0,0.116438356164384,0.10377358490566,0.0,0.5,0.0,0.0,0.0,0.0,0.0583333333333333,0.0,0.0,0.0273972602739726,0.111111111111111,0.0,0.0,0.0714285714285714,0.0,0.0196078431372549,0.0,0.001339584728734,0,0.0,0.0434782608695652,0.0,0.0036363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.130434782608696,0.0,0.0,0.0,0.0,0.0,0.105263157894737,0.0138888888888889,0.0,0.0,0.0,0.0,0.0,0.105263157894737,0.0,0.0764331210191083,0.0,0.0,0.0,0.0864197530864197,0.166666666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289855072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0178571428571429,0.0,0.0,0.0,0.0
TCGA-CM-6164-01A-11R-1653-07,0.227272727272727,0.0540540540540541,0.0531914893617021,0.17741935483871,0.142857142857143,0,0.235294117647059,0.0,0.293478260869565,0.195121951219512,0.235294117647059,0.0,0.397260273972603,0.283018867924528,0.0,0.0,0.0,0.15527950310559,0.2,0.275862068965517,0.0666666666666667,0.166666666666667,0.142857142857143,0.246575342465753,0.333333333333333,0.347826086956522,0.157894736842105,0.0,0.0526315789473684,0.0588235294117647,0.0909090909090909,0.180843938379102,0,0.104166666666667,0.173913043478261,0.0,0.178181818181818,0.333333333333333,0.181818181818182,0.1,0.0,0.285714285714286,0.2,0.0434782608695652,0.2,0.0,0.333333333333333,0.03125,0.136363636363636,0.0,0.0277777777777778,0.142857142857143,0.0,0.0967741935483871,0.0,0.142857142857143,0.157894736842105,0.363636363636364,0.0063694267515923,0.0303030303030303,0.0,0.0,0.333333333333333,0.333333333333333,0.0,0,0.0,0.0,0.0,0.333333333333333,0.1,0.2,0.0,0.0,0.0144927536231884,0.0,0.358333333333333,0.4,0.0,0.222222222222222,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.2,0.0054054054054054,0.04,0.25,0.08,0,0.0,0.0,0.482142857142857,0.333333333333333,0.0,0.0,0.0
TCGA-A6-4107-01A-02R-1410-07,0.0,0.027027027027027,0.0,0.0645161290322581,0.0,0,0.0,0.142857142857143,0.0869565217391304,0.0536585365853659,0.0,0.0,0.184931506849315,0.0377358490566038,0.0,0.0,0.0,0.0,0.2,0.206896551724138,0.0083333333333333,0.0555555555555556,0.0,0.0,0.0,0.347826086956522,0.0263157894736842,0.0,0.0526315789473684,0.0392156862745098,0.363636363636364,0.0060281312793034,0,0.0,0.0434782608695652,0.0,0.0981818181818182,0.0,0.0454545454545455,0.0,0.0,0.0952380952380952,0.1,0.304347826086957,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0714285714285714,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0636942675159236,0.0,0.0151515151515152,0.0,0.0493827160493827,0.0833333333333333,0.0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0289855072463768,0.0,0.0083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0108108108108108,0.0,0.0,0.0,0,0.0,0.0,0.0238095238095238,0.0,0.0,0.5,0.0
TCGA-AY-4070-01A-01R-1113-07,0.0454545454545455,0.162162162162162,0.0,0.120967741935484,0.0,0,0.0588235294117647,0.571428571428571,0.152173913043478,0.0585365853658537,0.0,0.0,0.0753424657534247,0.0849056603773585,0.1,1.0,0.0,0.0496894409937888,0.2,0.137931034482759,0.025,0.222222222222222,0.142857142857143,0.0958904109589041,0.333333333333333,0.652173913043478,0.0526315789473684,0.142857142857143,0.0526315789473684,0.0,0.545454545454545,0.000669792364367,0,0.0416666666666667,0.0869565217391304,0.0,0.0363636363636364,0.0,0.0454545454545455,0.0,0.0,0.19047619047619,0.2,0.521739130434783,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0967741935483871,0.3,0.0,0.0526315789473684,0.0,0.0254777070063694,0.0606060606060606,0.0454545454545455,0.166666666666667,0.0987654320987654,0.0833333333333333,0.0,0,0.0,0.3,0.166666666666667,0.0,0.0,0.0,0.0,0.04,0.0144927536231884,0.0,0.0,0.2,0.0,0.111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540540540540541,0.04,0.0,0.16,0,0.0,0.0,0.291666666666667,0.0,0.0,0.25,0.0
TCGA-A6-5666-01A-01R-1653-07,0.0909090909090909,0.0,0.0106382978723404,0.0645161290322581,0.0,0,0.0882352941176471,0.0,0.0869565217391304,0.107317073170732,0.176470588235294,0.0,0.0821917808219178,0.207547169811321,0.0,0.0,0.0,0.0,0.0,0.0689655172413793,0.0083333333333333,0.0,0.0,0.10958904109589,0.0,0.130434782608696,0.236842105263158,0.0714285714285714,0.0,0.0196078431372549,0.272727272727273,0.280643000669792,0,0.0208333333333333,0.0,0.0,0.2,0.0,0.0454545454545455,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.111111111111111,0.0,0.0,0.0909090909090909,0.0,0.0,0.0714285714285714,0.0,0.0806451612903226,0.1,0.285714285714286,0.0,0.181818181818182,0.0,0.0,0.0,0.0,0.0123456790123457,0.0,0.0,0,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.04,0.0,0.666666666666667,0.55,0.0,0.0,0.0,0.0,0.0,0.075,0.0357142857142857,0.0,0.0,0.0,0.2,0.0054054054054054,0.12,0.0,0.04,0,0.0,0.0,0.0535714285714286,0.0,0.0,0.25,0.0
TCGA-AA-3655-01A-02R-1723-07,0.227272727272727,0.027027027027027,0.0531914893617021,0.290322580645161,0.0,0,0.117647058823529,0.0,0.25,0.0292682926829268,0.352941176470588,0.0,0.493150684931507,0.245283018867925,0.1,0.0,0.0,0.105590062111801,0.0,0.172413793103448,0.05,0.222222222222222,0.0,0.136986301369863,0.0,0.130434782608696,0.131578947368421,0.285714285714286,0.105263157894737,0.0196078431372549,0.0,0.14735432016075,0,0.1875,0.173913043478261,0.0,0.0763636363636364,0.0,0.318181818181818,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.0909090909090909,0.0,0.0,0.0714285714285714,0.142857142857143,0.129032258064516,0.1,0.0,0.157894736842105,0.0909090909090909,0.0,0.0303030303030303,0.0,0.0,0.308641975308642,0.666666666666667,0.125,0,0.181818181818182,0.0,0.0,0.25,0.0,0.4,0.2,0.02,0.0,0.0,0.158333333333333,0.0,0.333333333333333,0.0,0.0,0.0,0.075,0.214285714285714,0.0,0.0,0.0,0.0666666666666667,0.0054054054054054,0.2,0.25,0.24,0,0.0555555555555556,0.0,0.113095238095238,0.333333333333333,0.0,0.0,0.0
TCGA-A6-5656-01A-21R-A278-07,0.590909090909091,0.0540540540540541,0.0106382978723404,0.0564516129032258,1.0,0,0.323529411764706,0.285714285714286,0.271739130434783,0.795121951219512,0.235294117647059,1.0,0.486301369863014,0.688679245283019,0.3,0.5,0.0,0.571428571428571,0.4,0.137931034482759,0.466666666666667,0.944444444444444,0.285714285714286,1.0,0.555555555555556,1.0,0.184210526315789,0.428571428571429,1.0,0.0392156862745098,0.0909090909090909,0.0234427327528466,0,1.0,0.521739130434783,0.0,1.0,0.0,0.227272727272727,0.8,0.0,0.428571428571429,0.4,0.0434782608695652,1.0,0.666666666666667,0.0,1.0,1.0,0.736842105263158,0.0,0.0,0.714285714285714,0.435483870967742,1.0,0.142857142857143,0.315789473684211,0.272727272727273,0.0063694267515923,1.0,0.0,0.5,0.45679012345679,0.75,0.25,0,0.454545454545455,0.6,1.0,0.333333333333333,1.0,1.0,0.6,0.26,0.0289855072463768,0.333333333333333,0.133333333333333,0.6,0.0,0.444444444444444,0.0,0.0,1.0,0.357142857142857,1.0,1.0,0.0,0.8,0.0108108108108108,1.0,0.25,0.44,0,1.0,0.0,0.0892857142857143,1.0,0.75,0.25,1.0
TCGA-A6-6653-01A-11R-1774-07,0.0454545454545455,0.0810810810810811,0.0212765957446809,0.0161290322580645,0.0,0,0.0,0.0,0.16304347826087,0.151219512195122,0.117647058823529,0.0833333333333333,0.0479452054794521,0.0849056603773585,0.0,0.0,0.0,0.0124223602484472,0.0,0.0689655172413793,0.0,0.0555555555555556,0.0,0.10958904109589,0.111111111111111,0.0434782608695652,0.447368421052632,0.142857142857143,0.0,0.0,0.0,1.0,0,0.0208333333333333,0.0,0.142857142857143,0.0290909090909091,0.333333333333333,0.0,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545455,0.0,0.0,0.142857142857143,0.0,0.032258064516129,0.0,0.142857142857143,0.0,0.181818181818182,0.0,0.0606060606060606,0.0,0.0,0.0617283950617284,0.0,0.0,0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333333,0.0666666666666667,0.0,0.0,0.0,0.08,0,0.0,0.0,0.0416666666666667,0.0,0.5,0.0,0.0
TCGA-DM-A0XD-01A-12R-A155-07,0.227272727272727,0.0810810810810811,0.0319148936170213,0.0241935483870968,0.0,0,0.294117647058824,0.0,0.0326086956521739,0.0048780487804878,0.176470588235294,0.0,0.445205479452055,0.132075471698113,0.0,0.0,0.0,0.0372670807453416,0.0,0.310344827586207,0.0083333333333333,0.277777777777778,0.0,0.0410958904109589,0.0,0.217391304347826,0.210526315789474,0.357142857142857,0.157894736842105,0.0,0.545454545454545,0.395177494976557,0,0.0625,0.173913043478261,0.0,0.0145454545454545,0.0,0.409090909090909,0.0,0.0,0.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241935483870968,0.1,0.0,0.0526315789473684,0.0,0.0,0.0606060606060606,0.0,0.0,0.209876543209877,1.0,0.0,0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.5,0.491666666666667,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.4,0.0162162162162162,0.2,0.5,0.04,0,0.0,0.0,0.291666666666667,0.0,0.0,0.0,0.0
TCGA-AD-6890-01A-11R-1928-07,0.272727272727273,0.108108108108108,0.074468085106383,0.129032258064516,0.0,0,0.117647058823529,0.428571428571429,0.152173913043478,0.151219512195122,0.0,0.0,0.410958904109589,0.273584905660377,0.1,0.0,0.5,0.0559006211180124,0.0,0.275862068965517,0.0666666666666667,0.277777777777778,0.0,0.10958904109589,0.0,0.173913043478261,0.157894736842105,0.214285714285714,0.105263157894737,0.0,0.909090909090909,0.172136637642331,0,0.145833333333333,0.260869565217391,0.0,0.232727272727273,0.666666666666667,0.5,0.0,0.0,0.19047619047619,0.1,0.217391304347826,0.05,0.0,0.0,0.0,0.0,0.105263157894737,0.0,0.0714285714285714,0.142857142857143,0.145161290322581,0.0,0.0,0.105263157894737,0.272727272727273,0.0,0.0,0.0,0.0,0.444444444444444,0.333333333333333,0.0,0,0.0,0.3,0.0,0.25,0.0,0.2,0.0,0.06,0.0144927536231884,0.5,0.2,0.0,0.0,0.333333333333333,0.0,0.25,0.05,0.392857142857143,0.0,0.0,0.0,0.466666666666667,0.0,0.24,0.0,0.04,0,0.0,0.0,0.238095238095238,0.333333333333333,0.0,0.0,0.125
