sample,MIR4664,MIR5087,MIR573,MIR6828,MIR145,MIR4284,MIR153.1,MIR4768,MIR186,MIR708,MIR4682,MIR26A2,MIR429,MIR8083,MIR641,MIR5695,MIR554,MIR4263,MIR590,MIR647,MIR1270,MIR6081,MIR3149,MIR200B,MIR6772,MIR659,MIR7854,MIR4442,MIR6838,MIR3682,MIR553,MIR4292,MIR1244.3,MIR635,MIR3176,MIR378J,MIR1286,MIR5195,MIR1268B,MIR1244.2,AL513534.1,MIR7856,MIR6740,MIR760,MIR5572,MIR6503,MIR126,MIR6859.4,MIR4324,MIR3186,MIR543,MIR4740,MIR6512,MIR25,MIR570,MIR548H1,MIR1244.4,MIR3646,MIR4635,MIR4653,MIR221,MIR5693,MIR6514,MIR616,AC002059.2,MIR3131,MIR140,MIR6739,MIR4482,MIR4652,MIR3177,MIR4258,MIR4477B,MIR3657,MIR4639,MIR6804,MIR324,MIR5581,MIR5010,MIR320E,MIR23B,MIR7111,MIR4770,MIR8078,MIR3685,MIR106B,MIR95,MIR3939,MIR509.3,MIR3122,MIR4312,MIR645,MIR5690,MIR210,MIR3683,MIR320A,MIR378A,MIR3164,MIR103A2,MIR2355
TCGA-A3-3306-01A-01R-0864-07,0.164948454,0.0,0.107526882,0.0,0.028301887,0.0,0.0,0.178899083,0.272727273,0.0,0.0,0.0,0.002824859,0.0,0.057142857,0.0,0.0,0.102941176,0.101123596,0.118483412,0.068807339,0.0,0.375,0.0,0.028571429,0.214285714,0.0,0.055555556,0.0,0.076923077,0.045454545,0.025974026,0.02247191,0.116129032,0.050632911,0.258064516,0.0,0.0,0.0,0.067251462,0.188405797,0.0,0.142857143,0.0,0.0,0.035714286,0.042735043,0.25,0.0,0.0,0.0,0.1,0.090909091,0.202247191,0.134751773,0.0,0.022026432,0.098484848,0.019480519,0.108108108,0.028776978,0.0,0.0,0.008695652,0.0,0.0,0.031609195,0.045454545,0.073170732,0.0,0.0,0.066666667,0.068181818,0.0,0.0,0.0,0.102564103,0.434782609,0.04,0.0,0.0,0.0,0.0,0.0,0.096774194,0.125,0.0,0.4,0.0,0.0,0.0,0.114285714,0.007575758,0.004761905,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A3-3307-01A-01R-0864-07,0.06185567,0.133333333,0.150537634,0.5,0.028301887,0.0,0.0,0.018348624,0.181818182,0.166666667,0.0,0.090909091,0.064971751,0.058823529,0.028571429,0.133333333,0.0,0.029411765,0.179775281,0.104265403,0.087155963,0.15,0.0,0.055555556,0.038095238,0.142857143,0.0,0.0,0.0,0.340659341,0.045454545,0.090909091,0.039325843,0.283870968,0.101265823,0.129032258,0.0,0.043478261,0.0,0.081871345,0.188405797,0.117647059,0.0,0.0,0.0,0.035714286,0.205128205,0.0,0.037037037,0.117647059,0.0,0.1,0.363636364,0.191011236,0.139479905,0.066666667,0.066079295,0.015151515,0.051948052,0.054054054,0.0,0.0,0.375,0.0,0.0,0.0,0.109195402,0.0,0.097560976,0.0,0.0,0.666666667,0.181818182,0.0,0.0,0.0,0.051282051,0.0,0.1,0.205882353,0.076086957,0.0,0.0,0.0,0.2,0.125,0.0,0.3,0.266666667,0.0,0.0,0.0,0.045454545,0.023809524,0.0,0.111111111,0.0,0.078947368,0.0,0.0
TCGA-A3-3311-01A-02R-1325-07,0.24742268,0.2,0.23655914,0.0,0.056603774,0.0,0.0,0.151376147,0.181818182,0.25,0.0,0.090909091,0.005649718,0.058823529,0.085714286,0.133333333,0.0,0.205882353,0.258426966,0.132701422,0.19266055,0.0,0.3125,0.0,0.066666667,0.285714286,0.0,0.055555556,0.0,0.043956044,0.090909091,0.090909091,0.04494382,0.258064516,0.240506329,0.161290323,0.0,0.043478261,0.266666667,0.078947368,0.115942029,0.235294118,0.142857143,0.0,0.0,0.392857143,0.042735043,0.0,0.185185185,0.235294118,0.0,0.2,0.272727273,0.08988764,0.127659574,0.0,0.055066079,0.015151515,0.012987013,0.067567568,0.028776978,0.0,0.25,0.026086957,0.0,0.019607843,0.034482759,0.045454545,0.073170732,0.0,0.0,0.466666667,0.090909091,0.058823529,0.090909091,0.0,0.025641026,0.217391304,0.1,0.352941176,0.0,0.076923077,0.0,0.75,0.103225806,0.0625,0.0,0.3,0.066666667,0.0,0.076923077,0.028571429,0.0,0.00952381,0.0,0.111111111,0.0,0.078947368,0.0,0.0
TCGA-A3-3313-01A-02R-1325-07,0.474226804,0.0,0.075268817,0.5,0.075471698,0.0,0.0,0.142201835,0.181818182,0.0,0.111111111,0.363636364,0.005649718,0.0,0.457142857,0.0,0.166666667,0.176470588,0.191011236,0.331753555,0.0,0.0,0.125,0.0,0.171428571,0.714285714,0.125,0.111111111,0.0,0.087912088,0.227272727,0.298701299,0.011235955,0.535483871,0.075949367,0.290322581,0.25,0.02173913,0.066666667,0.040935673,0.463768116,0.0,0.0,0.0,0.0,0.142857143,0.05982906,0.166666667,0.296296296,0.058823529,0.2,0.0,0.090909091,0.179775281,0.066193853,0.0,0.015418502,0.022727273,0.0,0.121621622,0.136690647,0.0,0.125,0.075362319,0.166666667,0.0,0.002873563,0.181818182,0.146341463,0.0,0.142857143,0.333333333,0.090909091,0.176470588,0.090909091,0.0,0.153846154,0.173913043,0.14,0.088235294,0.010869565,0.025641026,0.0,0.0,0.187096774,0.0,0.0,0.0,0.066666667,0.0,0.230769231,0.028571429,0.022727273,0.0,0.0,0.444444444,0.028571429,0.210526316,0.4,0.0
TCGA-A3-3316-01A-01R-0864-07,0.082474227,0.0,0.129032258,0.0,0.283018868,0.0,0.0,0.004587156,0.181818182,0.166666667,0.0,0.090909091,0.008474576,0.098039216,0.0,0.066666667,0.166666667,0.073529412,0.269662921,0.17535545,0.013761468,0.0,0.1875,0.0,0.076190476,0.0,0.0,0.055555556,0.0,0.120879121,0.272727273,0.181818182,0.04494382,0.264516129,0.088607595,0.161290323,0.25,0.0,0.066666667,0.057017544,0.246376812,0.058823529,0.0,0.0,0.142857143,0.285714286,0.188034188,0.0,0.0,0.058823529,0.0,0.133333333,0.090909091,0.168539326,0.122931442,0.0,0.055066079,0.136363636,0.038961039,0.027027027,0.050359712,0.5,0.125,0.014492754,0.333333333,0.0,0.0,0.409090909,0.12195122,0.0,0.0,0.2,0.227272727,0.058823529,0.090909091,0.333333333,0.025641026,0.086956522,0.12,0.294117647,0.173913043,0.025641026,0.0,0.0,0.04516129,0.5625,0.0,0.066666667,0.0,0.0,0.0,0.0,0.053030303,0.023809524,0.0,0.0,0.142857143,0.105263158,0.0,0.076923077
TCGA-A3-3317-01A-02R-1325-07,0.432989691,0.066666667,0.23655914,0.0,0.896226415,0.0,0.0,0.233944954,0.556818182,0.0,0.222222222,0.181818182,0.161016949,0.039215686,0.314285714,0.0,0.083333333,0.117647059,0.617977528,0.265402844,0.055045872,0.0,0.375,0.092592593,0.171428571,0.142857143,0.0,0.166666667,0.5,0.340659341,0.227272727,0.116883117,0.04494382,0.406451613,0.316455696,0.419354839,1.0,0.130434783,0.0,0.078947368,0.52173913,0.352941176,0.285714286,0.0,0.0,0.392857143,0.247863248,0.333333333,0.555555556,0.823529412,0.2,0.5,0.454545455,0.258426966,0.205673759,0.066666667,0.063876652,0.060606061,0.074675325,0.378378378,0.028776978,0.5,0.0,0.066666667,0.833333333,0.039215686,0.221264368,0.227272727,0.219512195,0.2,0.285714286,0.466666667,0.159090909,0.235294118,0.363636364,0.166666667,0.358974359,0.217391304,0.22,0.294117647,0.097826087,0.076923077,0.0,0.5,0.090322581,0.375,0.0,0.033333333,0.266666667,0.2,1.0,0.0,0.0,0.061904762,0.0,0.0,0.2,0.210526316,0.0,0.0
TCGA-A3-3319-01A-02R-1325-07,0.515463918,0.066666667,0.107526882,0.0,0.028301887,0.0,0.117647059,0.23853211,0.204545455,0.0,0.333333333,0.454545455,0.014124294,0.019607843,0.057142857,0.066666667,0.166666667,0.323529412,0.202247191,0.208530806,0.064220183,0.0,0.125,0.018518519,0.047619048,0.142857143,0.125,0.111111111,0.0,0.098901099,0.045454545,0.064935065,0.02247191,0.419354839,0.253164557,0.161290323,0.0,0.065217391,0.066666667,0.078947368,0.362318841,0.176470588,0.428571429,0.0,0.0,0.285714286,0.042735043,0.0,0.074074074,0.294117647,0.0,0.066666667,0.090909091,0.134831461,0.163120567,0.0,0.0969163,0.151515152,0.035714286,0.513513514,0.021582734,0.25,0.375,0.173913043,0.166666667,0.137254902,0.132183908,0.272727273,0.146341463,0.0,0.285714286,0.466666667,0.159090909,0.117647059,0.181818182,0.0,0.179487179,0.173913043,0.24,0.205882353,0.0,0.102564103,0.0,0.25,0.232258065,0.0,0.0,0.0,0.133333333,0.4,0.384615385,0.142857143,0.022727273,0.019047619,0.0,0.222222222,0.2,0.052631579,0.0,0.0
TCGA-A3-3320-01A-02R-1325-07,0.154639175,0.133333333,0.311827957,0.5,0.103773585,0.111111111,0.0,0.146788991,0.636363636,0.083333333,0.0,0.090909091,0.036723164,0.0,0.285714286,0.0,0.166666667,0.161764706,0.539325843,0.526066351,0.110091743,0.0,0.4375,0.0,0.161904762,0.142857143,0.125,0.055555556,0.0,0.065934066,0.181818182,0.220779221,0.016853933,0.348387097,0.303797468,0.258064516,0.0,0.130434783,0.0,0.064327485,0.304347826,0.235294118,0.0,0.0,0.0,0.25,0.333333333,0.083333333,0.0,0.411764706,0.4,0.3,0.181818182,0.123595506,0.229314421,0.0,0.035242291,0.075757576,0.064935065,0.135135135,0.035971223,0.25,0.5,0.034782609,0.0,0.039215686,0.313218391,0.590909091,0.073170732,0.0,0.142857143,0.133333333,0.204545455,0.352941176,0.0,0.333333333,0.153846154,0.434782609,0.14,0.5,0.076086957,0.128205128,0.0,0.0,0.096774194,0.125,0.0,0.1,0.8,0.0,0.307692308,0.085714286,0.022727273,0.114285714,0.0,0.111111111,0.114285714,0.236842105,0.2,0.0
TCGA-A3-3322-01A-02R-1325-07,0.24742268,0.133333333,0.11827957,0.0,0.396226415,0.222222222,0.0,0.013761468,0.318181818,0.416666667,0.0,0.0,0.008474576,0.039215686,0.057142857,0.066666667,0.0,0.058823529,0.494382022,0.298578199,0.04587156,0.0,0.125,0.0,0.095238095,0.142857143,0.0,0.111111111,0.0,0.065934066,0.272727273,0.272727273,0.02247191,0.309677419,0.215189873,0.225806452,0.0,0.173913043,0.066666667,0.039473684,0.188405797,0.294117647,0.0,0.0,0.142857143,0.285714286,0.367521368,0.166666667,0.037037037,0.470588235,0.0,0.366666667,0.272727273,0.460674157,0.04964539,0.0,0.039647577,0.113636364,0.37987013,0.175675676,0.021582734,0.5,0.0,0.043478261,0.333333333,0.039215686,0.390804598,0.181818182,0.048780488,0.0,0.0,0.466666667,0.045454545,0.235294118,0.090909091,0.0,0.230769231,0.608695652,0.26,0.352941176,0.097826087,0.102564103,0.0,0.5,0.070967742,0.4375,0.0,0.1,0.666666667,0.0,0.461538462,0.114285714,0.0,0.157142857,0.0,0.111111111,0.171428571,0.605263158,0.0,0.076923077
TCGA-A3-3323-01A-02R-1325-07,0.278350515,0.266666667,0.215053763,0.0,0.358490566,0.333333333,0.0,0.055045872,0.397727273,0.083333333,0.222222222,0.272727273,0.0,0.039215686,0.085714286,0.0,0.416666667,0.176470588,0.303370787,0.17535545,0.206422018,0.0,0.3125,0.0,0.276190476,0.0,0.125,0.111111111,0.0,0.087912088,0.227272727,0.194805195,0.033707865,0.290322581,0.126582278,0.161290323,0.0,0.130434783,0.066666667,0.043859649,0.333333333,0.352941176,0.142857143,0.111111111,0.0,0.607142857,0.41025641,0.0,0.222222222,0.411764706,0.4,0.233333333,0.090909091,0.382022472,0.250591017,0.0,0.033039648,0.143939394,0.084415584,0.148648649,0.014388489,0.25,0.0,0.011594203,0.5,0.0,0.396551724,0.227272727,0.073170732,0.6,0.285714286,0.266666667,0.113636364,0.235294118,0.090909091,0.0,0.076923077,0.043478261,0.12,0.323529412,0.076086957,0.102564103,0.0,0.0,0.083870968,0.0,0.0,0.2,0.2,0.0,0.307692308,0.0,0.03030303,0.057142857,0.0,0.0,0.085714286,0.263157895,0.2,0.153846154
