,MIR3125,MIR6071,MIR4477B,MIR635,MIR548N,MIR590,MIR23B,MIR4666A,MIR1244.4,MIR1244.3,MIR98,MIR5587,MIR1244.2,MIR4421,MIR3682,MIR4423,MIR4322,MIR3616,MIR4648,MIR649,MIR3685,MIR616,MIR4754,MIR4645,MIR4257,MIR6891,MIR378H,MIR3176,MIR657,MIR1250,MIR27B,MIR26A2,MIR125B1,MIR4530,MIR4701,MIR6812,MIR186,MIR3153,MIR5695,MIR6739,MIR6503,MIR6797,MIR6784,MIR3942,MIR25,MIR378B,MIR4261,MIR4256,MIR617,MIR339,MIR6807,MIR578,MIR124.2,MIR221,MIR3189,MIR1302.5,MIR181D,MIR548AH,MIR6835,MIR548AC,MIR4755,MIR647,MIR589,MIR4664,MIR4521,MIR519B,MIR659,MIR128.2,MIR5010,MIR320A,MIR151B,MIR3605,MIR4443,MIRLET7I,MIR6736,MIR570,MIR491,MIR145,MIR6806,MIR6753,MIR1324,MIR3677,MIR210,MIR10B,MIR126,MIR320B2,MIR4442,MIR93,MIR6750,MIR7156,MIR4292,MIR4668,MIR6721,MIR3138,MIR6772,MIR6068,MIR2116,MIR3713,AL513534.1,MIR3132
TCGA-HT-8013-01A-11R-2403-07,0.0666666666666667,0.0398230088495575,0.26,0.198019801980198,0.0,0.268292682926829,0.0,0.145161290322581,0.226086956521739,0.115384615384615,0.0,0.235294117647059,0.252747252747253,0.0,0.177966101694915,0.0,0.414634146341463,0.0,0.235294117647059,0.0769230769230769,0.391891891891892,0.0383141762452107,0.0,0.2,0.0833333333333333,0.0,0.0526315789473684,0.352941176470588,0.0588235294117647,0.169811320754717,0.0344827586206897,0.0,0.0128205128205128,0.555555555555556,0.2,0.0,0.414634146341463,0.0,0.368421052631579,0.214285714285714,0.0,0.428571428571429,0.294117647058824,0.125,0.352941176470588,0.153846153846154,0.0,0.0,0,0.692307692307692,0.333333333333333,0.0652173913043478,0.0,0.137931034482759,0.0,0.0,0.352941176470588,0.0,0.411764705882353,0.0,0.0,0.265536723163842,0.166666666666667,0.310344827586207,0.428571428571429,0,0.0512820512820513,0.0,0.192307692307692,0.0,0.0,0.4,0,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.125,0.0,0.133333333333333,0.0,0.44,0.111111111111111,0.0084745762711864,0.0952380952380952,0.0,0.416666666666667,0.541666666666667,0.2,0.0,0.345679012345679,0.0,0.0,0.0,0.5,0.0,0.166666666666667,0,0.189189189189189,0.142857142857143
TCGA-WY-A858-01A-11R-A36H-07,0.0666666666666667,0.0663716814159292,0.2675,0.0891089108910891,0.0,0.0487804878048781,0.0625,0.0,0.226086956521739,0.192307692307692,0.2,0.0,0.178571428571429,0.0,0.248940677966102,0.0,0.0975609756097561,0.0,0.0,0.0,0.297297297297297,0.003831417624521,0.25,0.133333333333333,0.0,0.0,0.0526315789473684,0.0,0.0294117647058824,0.0377358490566038,0.0,0.0,0.0,0.333333333333333,0.1,0.0,0.0853658536585366,0.0,0.105263157894737,0.285714285714286,0.0512820512820513,0.142857142857143,0.294117647058824,0.125,0.198529411764706,0.0256410256410256,0.0,0.2,0,0.0384615384615385,0.333333333333333,0.0,0.0588235294117647,0.137931034482759,0.0,0.0,0.176470588235294,0.0,0.352941176470588,0.0,0.0,0.27683615819209,0.277777777777778,0.0,0.142857142857143,0,0.0256410256410256,0.0,0.230769230769231,0.142857142857143,0.0,0.1,0,0.0,0.333333333333333,0.195402298850575,0.0,0.125,0.0,0.266666666666667,0.0,0.36,0.0555555555555556,0.0,0.19047619047619,0.0,0.0277777777777778,0.208333333333333,0.0,0.0,0.222222222222222,0.0,0.0,0.0,0.125,0.0,0.0,0,0.216216216216216,0.142857142857143
TCGA-DU-6393-01A-11R-1708-07,0.233333333333333,0.805309734513274,0.1575,0.188118811881188,0.0,0.268292682926829,0.1875,0.354838709677419,0.0782608695652174,0.0769230769230769,0.0,0.529411764705882,0.0769230769230769,0.0,0.135593220338983,0.0,0.780487804878049,0.0,0.0392156862745098,0.692307692307692,0.351351351351351,0.0153256704980843,0.125,0.1,0.166666666666667,0.0,0.368421052631579,0.264705882352941,0.0392156862745098,0.113207547169811,0.103448275862069,0.0029498525073746,0.0897435897435897,0.111111111111111,0.1,0.1,0.158536585365854,0.05,0.473684210526316,0.142857142857143,0.0512820512820513,0.0,0.117647058823529,0.0,0.323529411764706,0.0769230769230769,0.0,0.0,0,0.115384615384615,0.0,0.0434782608695652,0.205882352941176,0.0,0.0,0.0,0.176470588235294,0.25,0.352941176470588,0.0,0.0,0.299435028248588,0.388888888888889,0.0344827586206897,0.285714285714286,0,0.307692307692308,0.428571428571429,0.307692307692308,0.142857142857143,1.0,0.1,0,0.6,0.0,0.264367816091954,0.333333333333333,0.0625,0.0,0.0,0.0,0.88,0.0833333333333333,0.110169491525424,0.0714285714285714,0.5,0.777777777777778,0.25,0.2,0.0,0.469135802469136,0.0,0.0,0.142857142857143,0.125,0.0,0.0,0,0.297297297297297,0.142857142857143
TCGA-DU-6397-01A-11R-1708-07,0.0333333333333333,0.084070796460177,0.0925,0.376237623762376,0.0,0.317073170731707,0.0,0.032258064516129,0.0173913043478261,0.153846153846154,0.0,0.0588235294117647,0.0247252747252747,0.0,0.280720338983051,0.0,0.365853658536585,0.0,0.0196078431372549,0.153846153846154,0.108108108108108,0.0,0.0,0.0,0.0,0.0,0.105263157894737,0.117647058823529,0.117647058823529,0.0566037735849057,0.0344827586206897,0.0088495575221238,0.0256410256410256,0.0,0.1,0.0,0.0609756097560976,0.05,0.105263157894737,0.285714285714286,0.0,0.0,0.176470588235294,0.0,0.125,0.0256410256410256,0.0,0.0,0,0.0769230769230769,0.0,0.0869565217391304,0.0294117647058824,0.103448275862069,0.0,0.0,0.294117647058824,0.0,0.176470588235294,0.0,0.0,0.112994350282486,0.0,0.0,0.428571428571429,0,0.0512820512820513,0.0,0.307692307692308,0.0,0.0,0.0,0,0.0,0.0,0.160919540229885,0.0,0.0,0.0,0.0666666666666667,0.0,0.12,0.0555555555555556,0.0169491525423729,0.0714285714285714,0.25,0.555555555555556,0.208333333333333,0.0,0.0,0.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0.108108108108108,0.0
TCGA-DB-A75O-01A-11R-A32Q-07,0.0,0.0530973451327434,0.13,0.138613861386139,0.0,0.0,0.0625,0.032258064516129,0.373913043478261,0.192307692307692,0.6,0.0,0.043956043956044,0.0,0.280720338983051,0.0,0.0975609756097561,0.0,0.0392156862745098,0.0,0.162162162162162,0.0076628352490421,0.0,0.0333333333333333,0.25,0.0,0.105263157894737,0.0,0.0098039215686274,0.0377358490566038,0.0344827586206897,0.0,0.0,0.777777777777778,0.4,0.0,0.024390243902439,0.0,0.0526315789473684,0.0,0.0,0.0,0.294117647058824,0.0,0.132352941176471,0.0,0.0,0.0,0,0.153846153846154,0.0,0.0217391304347826,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.176470588235294,0.0,0.0,0.124293785310734,0.111111111111111,0.0,0.285714285714286,0,0.0512820512820513,0.142857142857143,0.230769230769231,0.142857142857143,0.5,0.2,0,0.0,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0714285714285714,0.0,0.222222222222222,0.208333333333333,0.0,0.0,0.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,0.135135135135135,0.142857142857143
TCGA-DB-A64O-01A-11R-A29R-07,0.0333333333333333,0.0044247787610619,0.06,0.0891089108910891,0.0,0.0487804878048781,0.1875,0.0483870967741935,0.217391304347826,0.288461538461538,0.0,0.294117647058824,0.230769230769231,0.0,0.502118644067797,0.0357142857142857,0.0487804878048781,0.0,0.117647058823529,0.0,0.243243243243243,0.0,0.125,0.0333333333333333,0.0,0.0,0.0526315789473684,0.147058823529412,0.0,0.0566037735849057,0.137931034482759,0.0,0.0,0.222222222222222,0.0,0.1,0.121951219512195,0.0,0.0,0.0714285714285714,0.0256410256410256,0.142857142857143,0.117647058823529,0.125,0.0294117647058824,0.0512820512820513,0.0,0.0,0,0.115384615384615,0.333333333333333,0.239130434782609,0.0588235294117647,0.0344827586206897,0.0,0.0,0.0,0.5,0.176470588235294,0.0,0.333333333333333,0.152542372881356,0.333333333333333,0.0344827586206897,0.0,0,0.0769230769230769,0.0,0.115384615384615,0.142857142857143,0.0,0.1,0,0.6,0.0,0.126436781609195,0.166666666666667,0.0,0.0,0.0,0.0,0.44,0.0555555555555556,0.0847457627118644,0.0238095238095238,0.25,0.0833333333333333,0.166666666666667,0.0,0.0,0.172839506172839,0.75,0.0,0.0,0.25,0.0,0.0,0,0.108108108108108,0.142857142857143
TCGA-WY-A859-01A-12R-A36H-07,0.1,0.0265486725663717,0.2875,0.217821782178218,0.0,0.121951219512195,0.0,0.225806451612903,0.260869565217391,0.173076923076923,0.0,0.117647058823529,0.107142857142857,0.0,0.356991525423729,0.0,0.0487804878048781,0.0,0.0,0.0769230769230769,0.135135135135135,0.0,0.5,0.133333333333333,0.0833333333333333,0.0,0.0526315789473684,0.147058823529412,0.0294117647058824,0.113207547169811,0.0,0.0029498525073746,0.0,0.111111111111111,0.0,0.1,0.109756097560976,0.0,0.263157894736842,0.142857142857143,0.0,0.142857142857143,0.470588235294118,0.125,0.191176470588235,0.179487179487179,0.0,0.0,0,0.346153846153846,0.0,0.0652173913043478,0.0294117647058824,0.0,0.0,0.0,0.176470588235294,0.0,0.117647058823529,0.0,0.0,0.23728813559322,0.111111111111111,0.0689655172413793,0.142857142857143,0,0.179487179487179,0.142857142857143,0.307692307692308,0.285714285714286,0.0,0.0,0,0.0,0.0,0.264367816091954,0.166666666666667,0.0,0.0,0.0,0.0,0.6,0.0,0.0677966101694915,0.0952380952380952,0.0,0.138888888888889,0.25,0.0,0.0,0.209876543209877,0.0,0.25,0.142857142857143,0.75,0.0,0.0,0,0.243243243243243,0.0
TCGA-DB-A64P-01A-11R-A29R-07,0.0,0.106194690265487,0.245,0.237623762376238,0.125,0.146341463414634,0.0,0.0161290322580645,0.0869565217391304,0.0769230769230769,0.0,0.0588235294117647,0.0769230769230769,0.0,0.255296610169492,0.0,0.0487804878048781,0.0,0.0196078431372549,0.153846153846154,0.459459459459459,0.0268199233716475,0.0,0.0333333333333333,0.0,0.0,0.0,0.0882352941176471,0.0490196078431373,0.0754716981132075,0.0344827586206897,0.0176991150442478,0.0256410256410256,0.0,0.1,0.0,0.109756097560976,0.3,0.157894736842105,0.214285714285714,0.0256410256410256,0.0,0.294117647058824,0.25,0.0661764705882353,0.0512820512820513,0.0,0.2,0,0.0769230769230769,0.0,0.0217391304347826,0.117647058823529,0.137931034482759,0.0,0.0,0.0,0.0,0.176470588235294,0.0,0.0,0.146892655367232,0.388888888888889,0.0862068965517241,0.142857142857143,0,0.102564102564103,0.0,0.230769230769231,0.0,0.0,0.0,0,0.0,0.0,0.275862068965517,0.0,0.125,0.0,0.0666666666666667,0.5,0.12,0.0277777777777778,0.0,0.0714285714285714,0.25,0.222222222222222,0.0416666666666667,0.0,0.0,0.234567901234568,0.0,0.0,0.0,0.0,0.0,0.0,0,0.189189189189189,0.0
TCGA-DB-A64S-01A-11R-A29R-07,0.0,0.0353982300884956,0.2525,0.178217821782178,0.0,0.121951219512195,0.0,0.0,0.11304347826087,0.134615384615385,0.0,0.0,0.134615384615385,0.0,0.307203389830508,0.0,0.0,0.0,0.0980392156862745,0.0769230769230769,0.432432432432432,0.0383141762452107,0.125,0.0,0.0,0.0,0.105263157894737,0.0882352941176471,0.0294117647058824,0.0943396226415094,0.0344827586206897,0.0,0.0256410256410256,0.111111111111111,0.2,0.0,0.121951219512195,0.05,0.0,0.428571428571429,0.0512820512820513,0.428571428571429,0.235294117647059,0.0,0.227941176470588,0.0256410256410256,0.0,0.0,0,0.115384615384615,0.0,0.0,0.0,0.172413793103448,0.0,0.0,0.0588235294117647,0.0,0.117647058823529,0.0,0.333333333333333,0.19774011299435,0.0,0.0344827586206897,0.142857142857143,0,0.102564102564103,0.0,0.0,0.142857142857143,0.0,0.3,0,0.0,0.0,0.0689655172413793,0.166666666666667,0.1875,0.666666666666667,0.0666666666666667,0.0,0.24,0.0,0.0,0.261904761904762,0.25,0.0277777777777778,0.375,0.0,0.0,0.271604938271605,0.0,0.0,0.142857142857143,0.375,0.0,0.0,0,0.405405405405405,0.0
TCGA-DU-8161-01A-11R-2256-07,0.233333333333333,0.0132743362831858,0.0425,1.0,0.0,0.585365853658537,0.125,0.0,0.191304347826087,0.153846153846154,0.0,0.764705882352941,0.175824175824176,0.0,0.301906779661017,0.0714285714285714,0.0487804878048781,0.0,0.254901960784314,0.0769230769230769,0.108108108108108,0.0268199233716475,0.375,0.3,0.166666666666667,0.0,0.368421052631579,0.647058823529412,0.0392156862745098,0.0188679245283019,0.0689655172413793,0.0,0.0384615384615385,0.222222222222222,0.2,0.0,0.365853658536585,0.1,0.105263157894737,0.214285714285714,0.307692307692308,0.285714285714286,0.176470588235294,0.5,0.205882352941176,0.102564102564103,0.0,0.0,0,0.153846153846154,0.0,0.0217391304347826,0.0,0.172413793103448,0.0,0.5,0.117647058823529,0.0,0.0588235294117647,0.0,0.0,0.175141242937853,0.388888888888889,0.362068965517241,0.142857142857143,0,0.0769230769230769,0.428571428571429,0.115384615384615,0.0,0.0,0.3,0,0.0,0.333333333333333,0.103448275862069,0.0,0.0625,0.0,0.2,0.0,0.52,0.0,0.0084745762711864,0.0238095238095238,0.5,0.694444444444444,0.458333333333333,0.2,0.0,0.37037037037037,0.25,0.0,0.0,0.5,0.0,0.333333333333333,0,0.189189189189189,0.0
