,MIR1244.2,MIR647,MIR4263,MIR3685,MIR1244.4,MIR210,MIR4502,MIR1249,MIR4292,MIR3682,MIR5087,MIR6859.1,MIR4664,MIR219A1,MIR4653,MIR3646,MIR4261,MIR126,MIR25,MIR5572,MIR7849,MIR635,MIR554,MIR7111,MIR4754,MIR4489,MIR4482,MIR320E,MIR6835,MIR4783,MIR1244.3,MIR3124,MIR4297,MIR659,MIR4537,MIR26B,MIR4635,MIR3609,MIR378H,MIR4525,MIR93,MIR6129,MIR4740,MIR570,MIR573,MIR378B,MIR6772,MIR193B,MIR616,MIR1268A,MIR6512,MIR6730,MIR1270,MIR6797,MIR3125,MIR3942,MIR3189,MIR4322,MIR3143,MIR6812,MIR324,MIR765,MIR4728,MIR1273C,MIR3928,MIR5690,MIR6071,MIR5188,MIR4782,AL513534.1,MIR4479,MIR3186,MIR4701,MIR589,MIR106B,MIR4511,MIR571,MIR378A,MIR378J,MIR186,MIR3671,MIR3677,MIR8066,MIR5587,MIR145,MIR933,MIR4685,MIR6739,MIR6753,MIR3649,MIR4477B,MIR331,MIR3176,MIR8067,MIR601,MIR3159,MIR3939,MIR4668,MIR4682,MIR6757
TCGA-G3-A25X-01A-11R-A16W-07,0.854166666666667,0.0,0.133333333333333,0.0705882352941176,0.614147909967846,0.0277777777777778,0.0,0.0,0.0,0.169491525423729,0.0,0.0,0.0,0.0476190476190476,0.0444444444444444,0.0,0.0,0.0714285714285714,0.0483870967741935,0.0,0.0,0.149425287356322,0.0,0.04,0.0,0.0,0.0,0.0,0.0606060606060606,0.0,1.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0512820512820513,0.0,0.0,0.6,0.153846153846154,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.833333333333333,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121951219512195,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0
TCGA-2Y-A9GU-01A-11R-A38B-07,0.0364583333333333,0.368421052631579,0.1,0.105882352941176,0.0546623794212219,0.0555555555555556,0.0,0.2,0.0315789473684211,0.114406779661017,0.0,0.230769230769231,0.159663865546218,0.0476190476190476,0.0444444444444444,0.0785714285714286,0.0,0.142857142857143,0.193548387096774,0.0,0.0,0.298850574712644,0.0,0.0,0.333333333333333,0.151515151515152,0.134020618556701,0.0,0.0,0.333333333333333,0.107142857142857,0.103448275862069,0.0,0.0625,0.0,0.166666666666667,0.256410256410256,0.0909090909090909,0.102564102564103,0.0,0.0,0.0,0.0769230769230769,0.323232323232323,0.384615384615385,0.75,0.227272727272727,0.0,0.204081632653061,0.0,0.0,0.133333333333333,0.0,0.0909090909090909,0.015748031496063,0.0,0.0223880597014925,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.387096774193548,0.0,0.333333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,0.0769230769230769,0.2,0.25,0.0588235294117647,0.2,0,0.153846153846154,0.0714285714285714,0.0,0.0,0.142857142857143,0.0092592592592592,0.153846153846154,0.0,0.0666666666666667,0.857142857142857,0.0,0.0,0.0,0.105263157894737,0.0,0.0,0.0
TCGA-ED-A8O6-01A-11R-A36F-07,0.105902777777778,0.671052631578947,0.0666666666666667,0.223529411764706,0.109324758842444,0.0555555555555556,0.0,0.1,0.115789473684211,0.0550847457627119,0.6,0.230769230769231,0.722689075630252,0.142857142857143,0.0444444444444444,0.128571428571429,0.0,0.642857142857143,0.17741935483871,0.0,0.5,0.0689655172413793,0.0,0.28,0.166666666666667,0.0909090909090909,0.0,0.0,0.0,0.4,0.196428571428571,0.0,0.615384615384615,0.25,0.0588235294117647,0.0,0.102564102564103,0.0909090909090909,0.0,0.0,0.1,0.0,0.0,0.393939393939394,0.307692307692308,0.09375,0.113636363636364,0.0,0.0612244897959184,0.0,0.0,0.133333333333333,0.0909090909090909,0.0909090909090909,0.0,0.4,0.0597014925373134,0.0,1.0,0.666666666666667,0.357142857142857,0.0833333333333333,0.111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0645161290322581,0.333333333333333,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.125,0.0588235294117647,0.2,0,0.0,0.0,0.0,0.5,0.0,0.0185185185185185,0.0,0.0487804878048781,0.266666666666667,0.142857142857143,0.0,0.0,0.5,0.0,0.25,0.0,0.125
TCGA-CC-5261-01A-01R-A131-07,0.130208333333333,0.381578947368421,0.2,0.0823529411764706,0.0836012861736334,0.0,0.333333333333333,0.0,0.0736842105263158,0.0593220338983051,0.0,0.0,0.487394957983193,0.238095238095238,0.0444444444444444,0.0214285714285714,0.0,0.0238095238095238,0.209677419354839,0.0,0.5,0.298850574712644,0.142857142857143,0.04,0.0,0.0303030303030303,0.123711340206186,0.166666666666667,0.0303030303030303,0.0333333333333333,0.428571428571429,0.241379310344828,0.0,0.125,0.0,0.0,0.102564102564103,0.0909090909090909,0.0256410256410256,0.0,0.0,0.0,0.115384615384615,0.222222222222222,0.0,0.0625,0.0227272727272727,0.0,0.0408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298507462686567,0.0,0.0,0.166666666666667,0.0714285714285714,0.0,0.0,0.5,0.0,0.0833333333333333,0.0,0.0,0.0,0.225806451612903,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0833333333333333,0.588235294117647,0.1,0,0.0,0.285714285714286,0.0,0.75,0.142857142857143,0.0,0.0,0.0,0.266666666666667,0.142857142857143,0.0,0.0,0.0,0.210526315789474,0.0,0.0,0.0
TCGA-GJ-A9DB-01A-11R-A37K-07,0.0642361111111111,0.394736842105263,0.1,0.129411764705882,0.0707395498392283,0.25,0.333333333333333,0.0,0.126315789473684,0.0466101694915254,0.4,0.0,0.294117647058824,0.19047619047619,0.0888888888888889,0.221428571428571,0.5,0.285714285714286,0.145161290322581,0.0,0.0,0.218390804597701,0.142857142857143,0.08,0.166666666666667,0.0303030303030303,0.278350515463918,0.333333333333333,0.0606060606060606,0.2,0.285714285714286,0.310344827586207,0.0,0.0625,0.0,0.0,0.358974358974359,0.0,0.307692307692308,0.0,0.0,0.0,0.269230769230769,0.0909090909090909,0.307692307692308,0.5625,0.0454545454545455,0.0,0.122448979591837,0.0,0.75,0.2,0.272727272727273,0.181818181818182,0.0236220472440945,0.4,0.0373134328358209,0.0,0.0,0.166666666666667,0.571428571428571,0.0833333333333333,0.555555555555556,0.0,0.5,0.333333333333333,0.125,0.4,0.4,0.0967741935483871,0.0,0.222222222222222,0.0909090909090909,0.08,0.166666666666667,0.0,0.0,0.384615384615385,0.6,0.166666666666667,0.352941176470588,0.0,1,0.153846153846154,0.285714285714286,0.0,0.5,0.285714285714286,0.0185185185185185,0.153846153846154,0.0975609756097561,0.4,0.428571428571429,0.0,0.0,0.0,0.0,0.25,0.666666666666667,0.0
TCGA-DD-AADN-01A-11R-A41C-07,0.144097222222222,0.0,0.0,0.0117647058823529,0.295819935691318,0.0,0.0,0.0,0.0315789473684211,0.0127118644067797,0.0,0.0,0.0,0.0,0.0222222222222222,0.0071428571428571,0.0,0.0,0.225806451612903,0.0,0.0,0.0804597701149425,0.0,0.24,0.0,0.0606060606060606,0.0103092783505155,0.0,0.0,0.0333333333333333,0.267857142857143,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538461538461538,0.0404040404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666667,0.0,0.0909090909090909,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-CC-A8HS-01A-11R-A36F-07,0.21875,0.802631578947368,0.0333333333333333,1.0,0.19935691318328,0.0277777777777778,0.0,0.2,0.315789473684211,0.156779661016949,0.0,1.0,0.210084033613445,0.333333333333333,0.0666666666666667,0.0428571428571429,0.5,0.0952380952380952,0.580645161290323,0.0,0.0,0.229885057471264,0.0,0.12,0.0,0.0606060606060606,0.0309278350515464,0.0,0.151515151515152,0.6,0.410714285714286,0.0344827586206897,0.923076923076923,0.1875,0.0,0.166666666666667,0.153846153846154,0.0909090909090909,0.0512820512820513,0.0,0.1,0.0,0.461538461538462,0.636363636363636,0.615384615384615,0.625,0.0909090909090909,0.0,0.163265306122449,0.0,0.0,0.4,0.454545454545455,0.272727272727273,0.0,0.0,0.0,0.142857142857143,0.0,0.166666666666667,0.357142857142857,0.333333333333333,0.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.483870967741935,0.666666666666667,0.555555555555556,0.0909090909090909,0.08,0.0,0.0,0.0,0.0769230769230769,0.7,1.0,0.176470588235294,0.0,0,0.307692307692308,0.214285714285714,0.25,0.5,0.142857142857143,0.12037037037037,0.153846153846154,0.0,0.266666666666667,0.928571428571429,0.0,0.0,1.0,0.105263157894737,0.0,0.0,0.5
TCGA-FV-A23B-01A-11R-A16W-07,0.244791666666667,0.368421052631579,0.166666666666667,0.317647058823529,0.173633440514469,0.0555555555555556,0.0,0.0,0.0315789473684211,0.220338983050847,0.0,0.0769230769230769,0.285714285714286,0.0952380952380952,0.222222222222222,0.0928571428571429,0.0,0.0952380952380952,0.306451612903226,0.0,0.0,0.275862068965517,0.0,0.12,0.0,0.181818181818182,0.22680412371134,0.0,0.0,0.3,0.232142857142857,0.275862068965517,0.0769230769230769,0.0625,0.0,0.166666666666667,0.282051282051282,0.0,0.256410256410256,0.0,0.2,0.0,0.0769230769230769,0.272727272727273,0.692307692307692,0.34375,0.113636363636364,0.0,0.0408163265306122,0.0,0.5,0.133333333333333,0.0,0.363636363636364,0.0078740157480315,0.2,0.0522388059701493,0.0,0.0,0.333333333333333,0.0714285714285714,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.419354838709677,0.0,0.111111111111111,0.454545454545455,0.16,0.0,0.0,0.0,0.0,0.3,0.541666666666667,0.0,0.1,0,0.153846153846154,0.142857142857143,0.5,0.75,0.571428571428571,0.0555555555555556,0.0,0.0,0.733333333333333,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0
TCGA-FV-A3R3-01A-11R-A22L-07,0.144097222222222,0.118421052631579,0.0333333333333333,0.0117647058823529,0.045016077170418,0.0277777777777778,0.0,0.1,0.0,0.0677966101694915,0.2,0.0,0.134453781512605,0.0,0.0444444444444444,0.0142857142857143,0.0,0.0952380952380952,0.0,0.157894736842105,0.0,0.114942528735632,0.0,0.04,0.0,0.0606060606060606,0.0412371134020619,0.0,0.0,0.1,0.142857142857143,0.137931034482759,0.0769230769230769,0.0625,0.0,0.166666666666667,0.0512820512820513,0.0,0.0256410256410256,0.0,0.0,0.0,0.0769230769230769,0.0404040404040404,0.0769230769230769,0.25,0.0909090909090909,0.333333333333333,0.0612244897959184,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0149253731343284,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.166666666666667,0.0,0.333333333333333,0.0,0.0,0.0833333333333333,0.117647058823529,0.2,0,0.153846153846154,0.0,0.25,0.0,0.0,0.0092592592592592,0.0,0.024390243902439,0.0,0.214285714285714,0.0,0.0,0.0,0.105263157894737,0.0,0.0,0.375
TCGA-DD-AAVV-01A-11R-A41C-07,0.0555555555555556,0.131578947368421,0.0333333333333333,0.0823529411764706,0.0610932475884244,0.0,0.0,0.1,0.0526315789473684,0.11864406779661,0.0,0.0,0.092436974789916,0.0,0.0444444444444444,0.0785714285714286,0.0,0.285714285714286,0.145161290322581,0.0526315789473684,0.5,0.103448275862069,0.0,0.16,0.5,0.0303030303030303,0.0309278350515464,0.166666666666667,0.0303030303030303,0.0,0.160714285714286,0.137931034482759,0.0,0.0,0.176470588235294,0.0,0.0512820512820513,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.212121212121212,0.0,0.125,0.136363636363636,0.0,0.0816326530612245,0.0,0.0,0.0666666666666667,0.0,0.0,0.0,0.0,0.0074626865671641,0.0,0.0,0.333333333333333,0.0,0.0833333333333333,0.0,0.5,0.0,0.0833333333333333,0.125,0.0,0.0,0.0,0.0,0.222222222222222,0.0,0.28,0.0,0.0,0.0,0.0,0.1,0.0833333333333333,0.0,0.0,0,0.0,0.5,0.25,0.25,0.142857142857143,0.037037037037037,0.0,0.0731707317073171,0.0666666666666667,0.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
