,MIR1244.4,MIR5692C2,MIR5572,MIR5587,MIR635,MIR186,MIR6772,MIR4263,MIR5195,MIR4489,MIR1244.3,MIR4664,MIR3189,MIR429,MIR647,MIR4538,MIR573,MIR4537,MIR3682,MIR4539,MIR6739,MIR3162,MIR3124,MIR5581,MIR6503,MIR582,MIR4671,MIR5087,MIR3178,MIR6512,MIR4442,MIR200A,MIR570,MIR4477B,MIR3135B,MIR3972,MIR4292,MIR559,MIR4645,MIR25,MIR2909,MIR4526,MIR708,MIR589,MIR3929,MIR3193,MIR3186,MIR145,MIR219A1,MIR126,MIR548I2,MIR4635,MIR4728,MIR100,MIR6071,MIR4652,MIR3685,MIR320B2,MIR4685,MIR6797,MIR3662,MIR6514,MIR4257,MIR3197,MIR5010,MIR221,MIR3153,MIR378J,MIR6835,MIR3942,MIR3616,MIR93,MIR4653,MIR5684,MIR4782,MIR4457,MIR320E,MIR193A,MIR3909,MIR4768,MIR548AT,MIR590,MIR7111,MIR4648,MIR4260,MIR23B,MIR1276,MIR3671,MIR5089,MIR567,MIR3149,MIR6129,MIR200B,AL513534.1,MIR4483,MIR6812,MIR6753,MIR5188,MIR6819,MIR659
TCGA-55-A4DF-01A-11R-A24H-07,0.133574007220217,0.0416666666666667,0,0.304347826086957,0.238888888888889,0.188118811881188,0.137614678899083,0.0282485875706215,0.0625,0.285714285714286,0.0916905444126074,0.0735294117647059,0.0122699386503067,0.134751773049645,0.22707423580786,0.347826086956522,0.238805970149254,0.40625,0.148148148148148,0.279411764705882,0.40625,0.666666666666667,0.0769230769230769,0.575,0.05,0,0,0,0.111111111111111,0,0.04,0.0555555555555556,0.300177619893428,0.39344262295082,0.037037037037037,0,0.852941176470588,0.789473684210526,0,0.453900709219858,0,0,0.111111111111111,0.171428571428571,0,0,0.24,0.0192307692307692,0.121951219512195,0.0296296296296296,0.0833333333333333,0.0457516339869281,0.037037037037037,0,0.0104166666666667,0,0.161904761904762,0.142857142857143,0.0769230769230769,0.178571428571429,0.333333333333333,0.857142857142857,0,0.181818181818182,0.44,0.0422535211267606,0.310344827586207,0.405405405405405,0.333333333333333,0.0833333333333333,0.266666666666667,0.666666666666667,0.099009900990099,0,0.125,0,0.210526315789474,0.25,0,0,0.625,0.508196721311475,0.04,0.111111111111111,0.157894736842105,0.0434782608695652,0.25,0.352941176470588,0,0,0,0.666666666666667,0.225806451612903,0.30379746835443,0.545454545454545,0.6,0.333333333333333,0.04,0.3125,0.0555555555555556
TCGA-MP-A4T4-01A-11R-A262-07,0.0144404332129964,0.0416666666666667,0,0.173913043478261,0.272222222222222,0.0297029702970297,0.0825688073394495,0.0564971751412429,0.0833333333333333,0.0476190476190476,0.0257879656160458,0.0882352941176471,0.0030674846625766,0.120567375886525,0.200873362445415,0.217391304347826,0.0895522388059701,0.328125,0.172839506172839,0.183823529411765,0.1875,0,0.0769230769230769,0.15,0.25,0,0,0.0833333333333333,0.111111111111111,0.5,0.08,0.125,0.0621669626998224,0.0983606557377049,0,0,0.352941176470588,0.421052631578947,0.275862068965517,0.120567375886525,0.5,0,0,0.2,0,0,0.28,0.0961538461538462,0.024390243902439,0.0592592592592593,0,0.111111111111111,0.185185185185185,0,0,0,0.0476190476190476,0.0952380952380952,0.230769230769231,0.214285714285714,0.111111111111111,0.142857142857143,0.111111111111111,0,0.32,0.0845070422535211,0.172413793103448,0.162162162162162,0.633333333333333,0.0833333333333333,0,0,0.425742574257426,0,0,0,0.263157894736842,0,0.285714285714286,0.0186915887850467,0.125,0.377049180327869,0.32,0,0,0.0144927536231884,0,0.411764705882353,0,0.133333333333333,0.0769230769230769,0,0.0645161290322581,0.392405063291139,0.0303030303030303,0.1,0.871794871794872,0,0.375,0.0277777777777778
TCGA-62-A471-01A-12R-A24H-07,0.102888086642599,0,0.170842824601367,0.130434782608696,0.0888888888888889,0.0495049504950495,0.119266055045872,0.0225988700564972,0.0208333333333333,0.333333333333333,0.0573065902578797,0.0698529411764706,0.0030674846625766,0.0851063829787234,0.100436681222707,0.0144927536231884,0.0895522388059701,0.03125,0.0864197530864197,0.0294117647058824,0.03125,0,0.115384615384615,0.025,0.05,0,0,0,0.111111111111111,0.166666666666667,0.04,0.0277777777777778,0.0550621669626998,0.0491803278688525,0,0,0.362745098039216,0.280701754385965,0.103448275862069,0.290780141843972,0,0,0,0.228571428571429,0,0,0.04,0.0384615384615385,0.024390243902439,0.0592592592592593,0,0.0980392156862745,0.0740740740740741,0,0.0208333333333333,0,0.20952380952381,0,0.230769230769231,0.0714285714285714,0,0,0,0,0.24,0,0.206896551724138,0.243243243243243,0.3,0.166666666666667,0,0.111111111111111,0.108910891089109,0,0,0,0.105263157894737,0,0.285714285714286,0.149532710280374,0.125,0.114754098360656,0.2,0,0.105263157894737,0,0,0.0588235294117647,0.181818181818182,0.0666666666666667,0,0,0,0.30379746835443,0,0.2,0.743589743589744,0.08,0.3125,0.0833333333333333
TCGA-L9-A5IP-01A-21R-A39D-07,0.0776173285198556,0,0.020501138952164,0.347826086956522,0.0722222222222222,0.108910891089109,0.119266055045872,0.186440677966102,0.0208333333333333,0.0476190476190476,0.0229226361031519,0.180147058823529,0,0.0070921985815602,0.139737991266376,0.0144927536231884,0.149253731343284,0,0.0617283950617284,0.0294117647058824,0.15625,0.333333333333333,0.269230769230769,0.025,0,0.428571428571429,0.333333333333333,0,0.222222222222222,0.333333333333333,0.04,0,0.0994671403197158,0.0163934426229508,0,0,0.166666666666667,0.0701754385964912,0.655172413793103,0.0921985815602837,0,0,0,0.0571428571428571,0,0,0.12,0,0.0487804878048781,0.0074074074074074,0,0.130718954248366,0.111111111111111,0,0,0,0.0761904761904762,0.0952380952380952,0.0769230769230769,0.25,0.111111111111111,0,0.944444444444444,0.0909090909090909,0.32,0.028169014084507,0.724137931034483,0.135135135135135,0.2,0.25,0,0.0555555555555556,0.188118811881188,0.6,0.375,0,0.105263157894737,0,0.571428571428571,0,0.125,0.0983606557377049,0.24,0,1,0,0.25,0.235294117647059,0.0909090909090909,0.0666666666666667,0.384615384615385,0,0,0.20253164556962,0,0,0.384615384615385,1,0.1875,0.0833333333333333
TCGA-49-AARR-01A-11R-A41B-07,0.0703971119133574,0,0,0.304347826086957,0.211111111111111,0.158415841584158,0.137614678899083,0,0.0833333333333333,0.238095238095238,0.0372492836676218,0.0588235294117647,0.0368098159509202,0.297872340425532,0.157205240174672,0.0869565217391304,0.119402985074627,0.140625,0.197530864197531,0.139705882352941,0,0,1,0.125,0.15,0.142857142857143,0,0,0.222222222222222,0,0.12,0.361111111111111,0.0515097690941385,0.0655737704918033,0.037037037037037,0,0.176470588235294,0.0175438596491228,0.103448275862069,0.134751773049645,0,0,0,0.142857142857143,0,0.142857142857143,0.24,0.596153846153846,0.0487804878048781,1,0.166666666666667,0.065359477124183,0.0740740740740741,0,0.03125,0,0.123809523809524,0.0476190476190476,0.0769230769230769,0,0.222222222222222,0.142857142857143,0.166666666666667,0.181818181818182,0.36,0.211267605633803,0.0344827586206897,0.135135135135135,0.0333333333333333,0.333333333333333,0.2,0.222222222222222,0.0396039603960396,0,0.375,0,0.210526315789474,0.125,0.142857142857143,0.0934579439252336,0.125,0.114754098360656,0.16,0.222222222222222,0.0526315789473684,0.0579710144927536,0,0.470588235294118,0,0,0.153846153846154,0,0.387096774193548,0.164556962025316,0.96969696969697,0.5,0.0769230769230769,0,0.25,0.138888888888889
TCGA-78-8662-01A-11R-2403-07,0.102888086642599,0,0,0,0.127777777777778,0.0495049504950495,0.0642201834862385,0.0677966101694915,0.4375,0.0952380952380952,0.0372492836676218,0.0441176470588235,0.141104294478528,0.0354609929078014,0.0786026200873362,0,0.0447761194029851,0,0.407407407407407,0,0.03125,0,0.0384615384615385,0,0.05,0,0,0,0.222222222222222,0,0,0,0.101243339253996,0,0,0,0.215686274509804,0.0350877192982456,0,0.0709219858156028,0,0,0,0.0857142857142857,0,0,0.04,0.0192307692307692,0.0487804878048781,0,0,0.0065359477124183,0.037037037037037,0,0,0,0.152380952380952,0,0,0.142857142857143,0.555555555555556,0,0.0555555555555556,0,0.24,0.0985915492957746,0.0344827586206897,0.108108108108108,0.1,0,0,0.111111111111111,0.0792079207920792,0,0,0,0,0,0,0,0.125,0,0.12,0,0,0,0,0.0588235294117647,0,0,0.0769230769230769,0,0,0.177215189873418,0,0,0.205128205128205,0,0.125,0
TCGA-05-4430-01A-02R-1206-07,0.272563176895307,0,0.0022779043280182,0.0434782608695652,0.155555555555556,0.099009900990099,0.0091743119266055,0.11864406779661,0.166666666666667,0,0.160458452722063,0.106617647058824,0.0705521472392638,0.0212765957446809,0.0349344978165939,0.0144927536231884,0.0895522388059701,0.09375,0.111111111111111,0.0073529411764705,0.09375,0,0.269230769230769,0.025,0.15,0,0,0,0,0,0.16,0,0.0177619893428064,0.0655737704918033,0,0,0.0686274509803922,0.12280701754386,0.172413793103448,0.0638297872340425,0,0,0,0.0571428571428571,0,0,0,0.0769230769230769,0.0487804878048781,0.0666666666666667,0,0.0849673202614379,0.0740740740740741,0,0.0104166666666667,0,0.104761904761905,0,0.0769230769230769,0,0.111111111111111,0,0.0555555555555556,0,0.08,0.028169014084507,0,0.216216216216216,0.2,0,0,0.277777777777778,0.425742574257426,0,0,0,0.157894736842105,0,0,0.0186915887850467,0,0.0819672131147541,0.16,0.111111111111111,0.105263157894737,0.0144927536231884,0.25,0,0,0,0.153846153846154,0,0,0.126582278481013,0.0303030303030303,0,0.0256410256410256,0.04,0,0.0555555555555556
TCGA-L9-A50W-01A-12R-A39D-07,0.142599277978339,0.0416666666666667,0,0.173913043478261,0.127777777777778,0.297029702970297,0.311926605504587,0.0395480225988701,0.0416666666666667,0.476190476190476,0.0744985673352436,0.172794117647059,0.0245398773006135,0.163120567375887,0.161572052401747,0.072463768115942,0.238805970149254,0.03125,0.172839506172839,0.0882352941176471,0.125,0.333333333333333,0,0.3,0.25,0.285714285714286,0.222222222222222,0,0.444444444444444,0.5,0,0.125,0.0426287744227353,0.0491803278688525,0.185185185185185,0,0.343137254901961,0.403508771929825,0.206896551724138,0.425531914893617,0,0,0,0.228571428571429,0,0,0.12,0.0961538461538462,0.121951219512195,0.0148148148148148,0.166666666666667,0.0130718954248366,0.296296296296296,0,0,0,0.371428571428571,0.0476190476190476,0.307692307692308,0.142857142857143,0,0.285714285714286,0.166666666666667,0.0909090909090909,0.52,0.140845070422535,0,0.189189189189189,0.0666666666666667,0.166666666666667,0,0.111111111111111,0.108910891089109,0,0,0,0.0526315789473684,0.125,0.571428571428571,0.0093457943925233,0.25,0.295081967213115,0.28,0,0.105263157894737,0.0289855072463768,0,0.294117647058824,0.181818181818182,0.266666666666667,0.0769230769230769,0,0.161290322580645,0.278481012658228,0.212121212121212,0,0.205128205128205,0.04,0.375,0
TCGA-75-7025-01A-12R-1949-07,0.272563176895307,0.0416666666666667,0,0.304347826086957,0.133333333333333,0.623762376237624,0.412844036697248,0.0395480225988701,0.333333333333333,0.19047619047619,0.148997134670487,0.0330882352941176,0.441717791411043,0.418439716312057,0.266375545851528,0.173913043478261,0.447761194029851,0.203125,0.222222222222222,0.102941176470588,0.125,0,0.269230769230769,0.65,0.2,0.142857142857143,0.444444444444444,0.5,0.222222222222222,0.166666666666667,0.08,0.25,0.206039076376554,0.114754098360656,0.111111111111111,0,0.166666666666667,0.543859649122807,0.241379310344828,0.148936170212766,0,1,0,0.285714285714286,0,0,0.28,0.576923076923077,0.0731707317073171,0.037037037037037,0.416666666666667,0.183006535947712,0.185185185185185,0,0.1875,0,1,0.333333333333333,0.384615384615385,0.214285714285714,0.222222222222222,0.285714285714286,0.555555555555556,0,0.4,0.28169014084507,0,0.378378378378378,0.333333333333333,0.166666666666667,0.2,0.111111111111111,0.128712871287129,0.6,0,0,0.842105263157895,0,0.571428571428571,0.401869158878505,0.25,0.426229508196721,0.32,0.222222222222222,0.210526315789474,0.115942028985507,0.25,0.470588235294118,0.181818181818182,0.666666666666667,0.0769230769230769,0,0.451612903225806,0.493670886075949,0.393939393939394,0,0.282051282051282,0.08,0.5625,0.0833333333333333
TCGA-05-4424-01A-22R-1858-07,0.0667870036101083,0,0.0022779043280182,0.0434782608695652,0.177777777777778,0.0099009900990099,0.0275229357798165,0.0282485875706215,0,0.0952380952380952,0.0573065902578797,0.165441176470588,0.0521472392638037,0,0.0218340611353712,0,0.0746268656716418,0.046875,0.037037037037037,0.0073529411764705,0.0625,0,0.192307692307692,0.075,0.1,0,0,0,0,0,0.76,0.0138888888888889,0.0177619893428064,0.0983606557377049,0,0,0.0588235294117647,0.0526315789473684,0,0.0283687943262411,0,0,0,0.0857142857142857,0,0,0,0.0576923076923077,0,0,0,0.0522875816993464,0.037037037037037,0,0.0208333333333333,0.03125,0.0476190476190476,0.0952380952380952,0.0769230769230769,0.0714285714285714,0.111111111111111,0.142857142857143,0.0555555555555556,0,0.08,0.0140845070422535,0.0689655172413793,0.243243243243243,0,0.166666666666667,0,0,0.108910891089109,0,0,0,0.105263157894737,0,0,0,0.125,0.0655737704918033,0,0,0,0.0144927536231884,0,0.176470588235294,0,0,0.0769230769230769,0,0,0.0379746835443038,0.0909090909090909,0,0.0769230769230769,0,0.0625,0.0555555555555556
