,MIR6724.2,MIR2467,MIR4263,MIR596,MIR3648.2,MIR25,MIR1913,MIR4521,MIR607,MIR570,MIR635,MIR200B,MIR4754,MIR3197,MIR647,MIR5587,MIR1281,MIR10B,MIR8083,MIR5695,MIR4479,MIR4768,MIR3609,MIR6810,MIR1915,MIR708,MIR3671,MIR4664,MIR616,AL513534.1,MIR3155A,MIR4484,MIR7111,MIR410,MIR6514,MIR30C1,MIR4451,MIR3188,MIR27B,MIR4442,MIR4482,MIR429,MIR320E,MIR641,MIR200A,MIR3682,MIR6739,MIR648,MIR1244.4,MIR548F2,MIR6775,MIR186,MIR6737,MIR378A,MIR1244.3,MIR6124,MIR221,MIR644A,MIR3176,MIR887,MIR3129,MIR3648.1,MIR4801,MIR135B,MIR365A,MIR4292,MIR4693,MIR4257,MIR4429,MIR95,MIR4477B,AL928646.1,MIR6807,MIR331,MIR4677,MIR4312,MIR193A,MIR554,AL358013.1,MIR3117,MIR3677,MIR148B,MIR1203,MIR4462,MIR4783,MIR4777,MIR3124,MIR562,AL031428.2,MIR6768,MIR130A,MIR4258,MIR6719,MIR1244.2,MIR7156,MIR339,MIR1972.1,MIR760,MIR4654,MIR219A1
TCGA-13-1495-01A-01R-1565-13,0.0243055555555556,0.0,0.258064516129032,0.0,0.152952565343659,0.062780269058296,0.25,0.0285714285714286,0.0,0.304932735426009,0.207792207792208,0.041025641025641,0.125,0.0131578947368421,0.0370942812982998,0.0,0.0,0.0900900900900901,0.0563380281690141,0.238095238095238,0.0,0.0697674418604651,0.117224880382775,0.0,0.0,0.0454545454545455,0.0567375886524823,0.0229445506692161,0.0350877192982456,0.0909090909090909,0.0,0.166666666666667,0.0747663551401869,0.0714285714285714,0.25,0.111111111111111,0.0,0.0079155672823219,0.0152284263959391,0.0,0.0,0.0383064516129032,0.182692307692308,0.0405405405405405,0.0693069306930693,0.421052631578947,0.111111111111111,0.0625,0.495049504950495,0.0,0.0,0.0211267605633803,0.0,0.0,0.426470588235294,0.0,0.106194690265487,0.0,0.0,0.0,0.172413793103448,0.272300469483568,0.0,0.055045871559633,0.0,0.0482758620689655,0.0,0.0,0.0,0.0,0.125523012552301,0.0657772836761164,0.0,0.1,0.25,0.0869565217391304,0.0,0.0,0.0,0.0,0.142857142857143,0.230769230769231,0.1,0.0,0.0,0.0,0.0238095238095238,0.0,0.2,0.0909090909090909,0.0,0.173913043478261,0.0,0.377049180327869,0.0769230769230769,0.0666666666666667,0.0892857142857143,0.125,0.0,0.0645161290322581
TCGA-04-1347-01A-01R-1564-13,0.0,0.0,0.112903225806452,0.0,0.0193610842207164,0.170403587443946,0.0,0.0285714285714286,0.0,0.0650224215246637,0.194805194805195,0.0205128205128205,0.375,0.0,0.129829984544049,0.0153846153846154,0.0701754385964912,0.0,0.0,0.0,0.0,0.0232558139534884,0.23444976076555,0.0,0.18,0.0454545454545455,0.0141843971631206,0.005736137667304,0.245614035087719,0.012987012987013,0.0,0.0,0.242990654205607,0.0,0.0,0.0,0.0,0.0105540897097625,0.0,0.0,0.075,0.0403225806451613,0.0961538461538462,0.0135135135135135,0.0247524752475248,0.087719298245614,0.111111111111111,0.0625,0.742574257425743,0.0,0.0,0.0,0.0,0.0,0.191176470588235,0.0,0.0176991150442478,0.0,0.0476190476190476,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.163179916317992,0.0214934222716324,0.0,0.0,0.0,0.0,0.142857142857143,0.0,0.0,0.333333333333333,0.0,0.0384615384615385,0.0,0.0,0.0,0.3,0.0476190476190476,0.0,0.0,0.0909090909090909,0.0238095238095238,0.0869565217391304,0.0181818181818182,0.186742694226657,0.0,0.0666666666666667,0.107142857142857,0.0,0.0,0.0645161290322581
TCGA-24-2267-01A-01R-1568-13,0.0,0.0,0.0806451612903226,0.0,0.0716360116166505,0.143497757847534,0.0,0.0,0.0,0.224215246636771,0.220779220779221,0.0307692307692308,0.125,0.0307017543859649,0.132921174652241,0.0923076923076923,0.0526315789473684,0.141141141141141,0.23943661971831,0.19047619047619,0.142857142857143,0.0,0.126794258373206,0.0,0.0,0.0151515151515152,0.0638297872340425,0.0669216061185468,0.298245614035088,0.116883116883117,0.0,0.166666666666667,0.186915887850467,0.0,0.166666666666667,0.111111111111111,0.0,0.0343007915567282,0.0609137055837563,0.0588235294117647,0.05,0.0685483870967742,0.230769230769231,0.0540540540540541,0.0396039603960396,0.0175438596491228,0.222222222222222,0.125,0.0495049504950495,0.0,0.0,0.133802816901408,0.333333333333333,0.170731707317073,0.0,0.0769230769230769,0.0619469026548673,0.153846153846154,0.0952380952380952,0.0,0.0,0.112676056338028,0.0,0.018348623853211,0.166666666666667,0.103448275862069,0.0,0.25,0.0,0.0,0.0209205020920502,0.0778210116731518,0.0,0.05,0.333333333333333,0.173913043478261,0.285714285714286,0.0476190476190476,0.0,0.0,0.238095238095238,0.115384615384615,0.3,0.0,0.0,0.05,0.285714285714286,0.0,0.0,0.0,0.214285714285714,0.217391304347826,0.0363636363636364,0.0178189593727726,0.0,0.1,0.0535714285714286,0.0,0.333333333333333,0.032258064516129
TCGA-29-1691-01A-01R-1566-13,0.0,0.111111111111111,0.0967741935483871,0.0,0.0300096805421104,0.0493273542600897,0.25,0.0,0.0,0.2152466367713,0.051948051948052,0.0153846153846154,0.0625,0.0131578947368421,0.0880989180834621,0.0153846153846154,0.087719298245614,0.0810810810810811,0.0140845070422535,0.619047619047619,0.285714285714286,0.186046511627907,0.0980861244019139,0.0833333333333333,0.0,0.0,0.0851063829787234,0.0917782026768642,0.0526315789473684,0.0909090909090909,0.0,0.0,0.0560747663551402,0.0,0.166666666666667,0.0,0.0,0.0105540897097625,0.0253807106598985,0.0294117647058824,0.125,0.0524193548387097,0.0961538461538462,0.189189189189189,0.0198019801980198,0.0701754385964912,0.0222222222222222,0.1875,0.108910891089109,0.0,0.0,0.0422535211267606,0.0,0.0,0.161764705882353,0.153846153846154,0.0088495575221238,0.0,0.0119047619047619,0.0,0.0,0.0657276995305164,0.0,0.018348623853211,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0418410041841004,0.163979988882713,0.0,0.025,0.166666666666667,0.0,0.142857142857143,0.238095238095238,0.333333333333333,0.0,0.0952380952380952,0.153846153846154,0.0,0.333333333333333,0.0,0.0,0.642857142857143,0.0,0.0,0.727272727272727,0.285714285714286,0.391304347826087,0.0545454545454545,0.17320028510335,0.0,0.1,0.0714285714285714,0.0,0.0,0.225806451612903
TCGA-24-1924-01A-01R-1567-13,0.0034722222222222,0.0,0.129032258064516,0.0,0.010648596321394,0.134529147982063,0.0,0.0,0.0,0.0964125560538117,0.194805194805195,0.0205128205128205,0.0,0.0131578947368421,0.0788253477588872,0.0461538461538462,0.0350877192982456,0.0,0.225352112676056,0.0,0.0714285714285714,0.0,0.188995215311005,0.0833333333333333,0.16,0.0757575757575758,0.127659574468085,0.0458891013384321,0.087719298245614,0.155844155844156,0.0,0.333333333333333,0.121495327102804,0.0,0.0,0.0,0.142857142857143,0.0079155672823219,0.0050761421319797,0.0294117647058824,0.8,0.0423387096774194,0.0961538461538462,0.0,0.0594059405940594,0.236842105263158,0.0222222222222222,0.0,0.148514851485149,0.666666666666667,0.0,0.0774647887323944,0.0,0.0,0.205882352941176,0.0,0.0353982300884956,0.0,0.0476190476190476,0.0,0.0,0.0234741784037559,0.0,0.0,0.0,0.0551724137931034,0.0,0.3125,0.0,0.0,0.00418410041841,0.137669075412266,0.5,0.05,0.25,0.0,0.285714285714286,0.19047619047619,0.0,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.217391304347826,0.0,0.122594440484676,0.0,0.0,0.0535714285714286,0.3125,0.0,0.161290322580645
TCGA-13-1511-01A-01R-1565-13,0.0347222222222222,0.0,0.274193548387097,0.0,0.0087124878993223,0.179372197309417,0.0,0.228571428571429,0.0,0.271300448430493,0.25974025974026,0.0512820512820513,0.0,0.0219298245614035,0.327666151468315,0.153846153846154,0.333333333333333,0.267267267267267,0.154929577464789,0.19047619047619,0.714285714285714,0.0930232558139535,0.215311004784689,0.0833333333333333,0.0,0.0,0.0141843971631206,0.231357552581262,0.0526315789473684,0.194805194805195,0.0,0.333333333333333,0.102803738317757,0.0,0.0,0.222222222222222,0.142857142857143,0.0105540897097625,0.065989847715736,0.0294117647058824,0.05,0.0564516129032258,0.278846153846154,0.0540540540540541,0.0940594059405941,0.184210526315789,0.0888888888888889,0.125,0.168316831683168,0.166666666666667,0.0,0.0352112676056338,0.0,0.024390243902439,0.191176470588235,0.307692307692308,0.0619469026548673,0.230769230769231,0.142857142857143,0.0,0.0344827586206897,0.0516431924882629,0.0,0.0091743119266055,0.0,0.179310344827586,0.0,0.1875,0.0,0.0,0.00836820083682,0.125069483046137,0.0,0.25,1.0,0.217391304347826,0.142857142857143,0.142857142857143,0.166666666666667,0.222222222222222,0.0476190476190476,0.307692307692308,0.3,0.0,0.125,0.3,0.142857142857143,0.0,0.2,0.0,0.166666666666667,0.260869565217391,0.0727272727272727,0.134711332858161,0.0,0.233333333333333,0.160714285714286,0.03125,0.0,0.225806451612903
TCGA-59-A5PD-01A-11R-A406-31,0.0,0.333333333333333,0.516129032258065,0.0,0.0077444336882865,0.134529147982063,0.25,0.0571428571428571,0.0,0.396860986547085,0.337662337662338,0.0102564102564103,0.25,0.0,0.15919629057187,0.184615384615385,0.421052631578947,0.195195195195195,0.0704225352112676,0.0476190476190476,0.142857142857143,0.0697674418604651,0.0717703349282297,0.166666666666667,0.1,0.0151515151515152,0.0,0.137667304015296,0.210526315789474,0.25974025974026,0.0,0.166666666666667,0.0841121495327103,0.0,0.0,0.222222222222222,0.714285714285714,0.0079155672823219,0.0,0.205882352941176,0.275,0.0705645161290323,0.163461538461538,0.0405405405405405,0.0544554455445545,0.228070175438596,0.177777777777778,0.125,0.287128712871287,0.666666666666667,0.0,0.0633802816901408,0.0,0.0,0.338235294117647,0.0769230769230769,0.0,0.384615384615385,0.178571428571429,0.142857142857143,0.137931034482759,0.0,0.0,0.0275229357798165,0.0,0.110344827586207,0.0,0.0,0.0,0.0,0.100418410041841,0.0037057624606262,0.0,0.05,0.416666666666667,0.0869565217391304,0.0714285714285714,0.0952380952380952,0.0,0.222222222222222,0.142857142857143,0.153846153846154,0.1,0.0,0.0,0.1,0.0952380952380952,0.0,0.0,0.181818181818182,0.119047619047619,0.304347826086957,0.0909090909090909,0.267284390591589,0.0384615384615385,0.233333333333333,0.0892857142857143,0.03125,0.0,0.032258064516129
TCGA-29-1688-01A-01R-1566-13,0.0,0.0,0.161290322580645,0.0,0.0019361084220716,0.210762331838565,0.0,0.0,0.0,0.188340807174888,0.194805194805195,0.0153846153846154,0.1875,0.0175438596491228,0.142194744976816,0.0,0.0701754385964912,0.012012012012012,0.380281690140845,0.0,0.0,0.13953488372093,0.0167464114832536,0.0833333333333333,0.0,0.0,0.127659574468085,0.1434034416826,0.105263157894737,0.142857142857143,0.0,0.0,0.0841121495327103,0.0,0.0,0.333333333333333,0.0,0.0079155672823219,0.0456852791878173,0.0,0.0,0.0544354838709677,0.25,0.0,0.0346534653465347,0.0789473684210526,0.111111111111111,0.375,0.297029702970297,0.0,0.0,0.154929577464789,0.0,0.0975609756097561,0.0882352941176471,0.0,0.106194690265487,0.0,0.0595238095238095,0.142857142857143,0.0,0.0,0.0,0.0275229357798165,0.0,0.0413793103448276,0.0,0.0625,0.166666666666667,0.0,0.0125523012552301,0.0050027793218454,0.0,0.125,0.166666666666667,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.192307692307692,0.0,0.0,0.0,0.0,0.19047619047619,0.0,0.0,0.0,0.0238095238095238,0.0434782608695652,0.0363636363636364,0.170349251603706,0.0,0.0333333333333333,0.0,0.03125,0.0,0.290322580645161
TCGA-23-1122-01A-01R-1565-13,0.0,0.0,0.193548387096774,0.0,0.0222652468538238,0.103139013452915,0.0,0.0,0.0,0.408071748878924,0.155844155844156,0.0512820512820513,0.1875,0.0263157894736842,0.132921174652241,0.0461538461538462,0.087719298245614,0.03003003003003,0.0845070422535211,0.0952380952380952,0.214285714285714,0.162790697674419,0.110047846889952,0.166666666666667,0.04,0.0454545454545455,0.0283687943262411,0.187380497131931,0.43859649122807,0.12987012987013,0.0,0.166666666666667,0.186915887850467,0.0,0.0833333333333333,0.333333333333333,0.571428571428571,0.0158311345646438,0.0304568527918782,0.0294117647058824,0.0,0.0383064516129032,0.528846153846154,0.027027027027027,0.0544554455445545,0.210526315789474,0.155555555555556,0.4375,0.564356435643564,0.0,0.0,0.0633802816901408,0.333333333333333,0.0487804878048781,0.529411764705882,0.0,0.132743362831858,0.0769230769230769,0.0595238095238095,0.285714285714286,0.0689655172413793,0.028169014084507,0.0,0.055045871559633,0.0833333333333333,0.172413793103448,0.0,0.0,0.0,0.0,0.238493723849372,0.0607745043542709,0.0,0.05,0.75,0.0434782608695652,0.0,0.380952380952381,0.333333333333333,0.0,0.0,0.115384615384615,0.1,0.0,0.0,0.25,0.5,0.0,0.0,0.0909090909090909,0.214285714285714,0.217391304347826,0.145454545454545,0.220955096222381,0.0384615384615385,0.1,0.160714285714286,0.0625,0.0,0.32258064516129
TCGA-20-0987-01A-02R-1564-13,0.0,0.0,0.0,0.0,0.0222652468538238,0.0269058295964126,0.0,0.0,0.0,0.0,0.155844155844156,0.0,0.0,0.0964912280701754,0.0154559505409583,0.0153846153846154,0.0526315789473684,0.012012012012012,0.028169014084507,0.0,0.0,0.0,0.0167464114832536,0.0833333333333333,0.0,0.0,0.0,0.017208413001912,0.0,0.0,0.0,0.0,0.0280373831775701,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290322580645,0.0480769230769231,0.0,0.0049504950495049,0.0087719298245614,0.0,0.0,0.128712871287129,0.0,0.0,0.0,0.0,0.0487804878048781,0.117647058823529,0.0,0.0,0.0,0.0,0.0,0.0172413793103448,0.0328638497652582,0.0,0.0,0.0833333333333333,0.0206896551724138,0.0,0.0,0.0,0.0,0.0125523012552301,0.0092644061515656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130434782608696,0.0,0.0698503207412687,0.0,0.0,0.0357142857142857,0.0,0.0,0.0
